gookook'oo+NA	gookookohoo
3+gookook'oo+NA+Dim+Prt+Loc	ogookookohooensibaniing

X+gookook'oo+NA+Con+Prt+4	igookookohooenyibaniin

X+gookook'oo+NA+Con+Prt+Loc	igookookohooenyibaniing

X+gookook'oo+NA+Con+Prt+Pl	igookookohooenyibani1ag

X+gookook'oo+NA+Dim+Prt+4	igookookohooensibaniin

X+gookook'oo+NA+Dim+Prt+Loc	igookookohooensibaniing

X+gookook'oo+NA+Dim+Prt+Pl	igookookohooensibani1ag

1+gookook'oo+NA+ThmPos+Pej+1+Pl	nigookookohoomishnaan
1+gookook'oo+NA+ThmPos+Pej+1+Pl	nigookookohoomishnaa

2+gookook'oo+NA+ThmPos+Pej+1+Pl	gigookookohoomishnaan
2+gookook'oo+NA+ThmPos+Pej+1+Pl	gigookookohoomishnaa

2+gookook'oo+NA+ThmPos+Pej+2+Pl	gigookookohoomishwaa

3+gookook'oo+NA+ThmPos+Pej+3+4	ogookookohoomishniw

1+gookook'oo+NA+ThmPos+Pej+Prt	nigookookohoomishiban
1+gookook'oo+NA+ThmPos+Pej+Prt	nigookookohoomishiba

1+gookook'oo+NA+ThmPos+Pej+Voc+Pl	nigookookohoomishdig

2+gookook'oo+NA+ThmPos+Pej+Prt	gigookookohoomishiban
2+gookook'oo+NA+ThmPos+Pej+Prt	gigookookohoomishiba

2+gookook'oo+NA+ThmPos+Pej+Voc+Pl	gigookookohoomishdig

X+gookook'oo+NA+ThmPos+Pej+Prt	igookookohoomishiban
X+gookook'oo+NA+ThmPos+Pej+Prt	igookookohoomishiba

X+gookook'oo+NA+ThmPos+Pej+Voc+Pl	igookookohoomishdig

1+gookook'oo+NA+ThmPos+Pej+4	nigookookohoomishan

1+gookook'oo+NA+ThmPos+Pej+Loc	nigookookohoomishing

1+gookook'oo+NA+ThmPos+Pej+Pl	nigookookohoomishag

2+gookook'oo+NA+ThmPos+Pej+4	gigookookohoomishan

2+gookook'oo+NA+ThmPos+Pej+Loc	gigookookohoomishing

2+gookook'oo+NA+ThmPos+Pej+Pl	gigookookohoomishag

3+gookook'oo+NA+ThmPos+Pej+4	ogookookohoomishan

3+gookook'oo+NA+ThmPos+Pej+Loc	ogookookohoomishing

X+gookook'oo+NA+ThmPos+Pej+4	igookookohoomishan

X+gookook'oo+NA+ThmPos+Pej+Loc	igookookohoomishing

X+gookook'oo+NA+ThmPos+Pej+Pl	igookookohoomishag

1+gookook'oo+NA+ThmPos+1+Pl+Prt	nigookookohoomnaaniban
1+gookook'oo+NA+ThmPos+1+Pl+Prt	nigookookohoomnaaniba

1+gookook'oo+NA+ThmPos+1+Pl+Voc+Pl	nigookookohoomnaany1dig

2+gookook'oo+NA+ThmPos+1+Pl+Prt	gigookookohoomnaaniban
2+gookook'oo+NA+ThmPos+1+Pl+Prt	gigookookohoomnaaniba

2+gookook'oo+NA+ThmPos+1+Pl+Voc+Pl	gigookookohoomnaany1dig

2+gookook'oo+NA+ThmPos+2+Pl+Prt	gigookookohoomwaaban
2+gookook'oo+NA+ThmPos+2+Pl+Prt	gigookookohoomwaaba

2+gookook'oo+NA+ThmPos+2+Pl+Voc+Pl	gigookookohoomwaadig

3+gookook'oo+NA+ThmPos+3+4+Prt	ogookookohoomniwiban
3+gookook'oo+NA+ThmPos+3+4+Prt	ogookookohoomniwiba
3+gookook'oo+NA+ThmPos+3+4+Prt	ogookookohoomniiban
3+gookook'oo+NA+ThmPos+3+4+Prt	ogookookohoomniiba

1+gookook'oo+NA+ThmPos+1+Pl+4	nigookookohoomnaanin

1+gookook'oo+NA+ThmPos+1+Pl+Loc	nigookookohoomnaaning

1+gookook'oo+NA+ThmPos+1+Pl+Pl	nigookookohoomnaany1ag

2+gookook'oo+NA+ThmPos+1+Pl+4	gigookookohoomnaanin

2+gookook'oo+NA+ThmPos+1+Pl+Loc	gigookookohoomnaaning

2+gookook'oo+NA+ThmPos+1+Pl+Pl	gigookookohoomnaany1ag

2+gookook'oo+NA+ThmPos+2+Pl+4	gigookookohoomwaan

2+gookook'oo+NA+ThmPos+2+Pl+Loc	gigookookohoomwaang

2+gookook'oo+NA+ThmPos+2+Pl+Pl	gigookookohoomwaaag

3+gookook'oo+NA+ThmPos+2+Pl+4	ogookookohoomwaan

3+gookook'oo+NA+ThmPos+2+Pl+Loc	ogookookohoomwaang

3+gookook'oo+NA+ThmPos+3+4+4	ogookookohoomniwan

3+gookook'oo+NA+ThmPos+3+4+Loc	ogookookohoomniing

1+gookook'oo+NA+ThmPos+Prt+4	nigookookohoomibaniin

1+gookook'oo+NA+ThmPos+Prt+Loc	nigookookohoomibaniing

1+gookook'oo+NA+ThmPos+Prt+Pl	nigookookohoomibani1ag

2+gookook'oo+NA+ThmPos+Prt+4	gigookookohoomibaniin

2+gookook'oo+NA+ThmPos+Prt+Loc	gigookookohoomibaniing

2+gookook'oo+NA+ThmPos+Prt+Pl	gigookookohoomibani1ag

3+gookook'oo+NA+ThmPos+Prt+4	ogookookohoomibaniin

3+gookook'oo+NA+ThmPos+Prt+Loc	ogookookohoomibaniing

X+gookook'oo+NA+ThmPos+Prt+4	igookookohoomibaniin

X+gookook'oo+NA+ThmPos+Prt+Loc	igookookohoomibaniing

X+gookook'oo+NA+ThmPos+Prt+Pl	igookookohoomibani1ag

1+gookook'oo+NA+Pej+1+Pl+Prt	nigookookohooshnaaniban
1+gookook'oo+NA+Pej+1+Pl+Prt	nigookookohooshnaaniba

1+gookook'oo+NA+Pej+1+Pl+Voc+Pl	nigookookohooshnaany1dig

2+gookook'oo+NA+Pej+1+Pl+Prt	gigookookohooshnaaniban
2+gookook'oo+NA+Pej+1+Pl+Prt	gigookookohooshnaaniba

2+gookook'oo+NA+Pej+1+Pl+Voc+Pl	gigookookohooshnaany1dig

2+gookook'oo+NA+Pej+2+Pl+Prt	gigookookohooshwaaban
2+gookook'oo+NA+Pej+2+Pl+Prt	gigookookohooshwaaba

2+gookook'oo+NA+Pej+2+Pl+Voc+Pl	gigookookohooshwaadig

3+gookook'oo+NA+Pej+3+4+Prt	ogookookohooshniwiban
3+gookook'oo+NA+Pej+3+4+Prt	ogookookohooshniwiba
3+gookook'oo+NA+Pej+3+4+Prt	ogookookohooshniiban
3+gookook'oo+NA+Pej+3+4+Prt	ogookookohooshniiba

1+gookook'oo+NA+Pej+1+Pl+4	nigookookohooshnaanin

1+gookook'oo+NA+Pej+1+Pl+Loc	nigookookohooshnaaning

1+gookook'oo+NA+Pej+1+Pl+Pl	nigookookohooshnaany1ag

2+gookook'oo+NA+Pej+1+Pl+4	gigookookohooshnaanin

2+gookook'oo+NA+Pej+1+Pl+Loc	gigookookohooshnaaning

2+gookook'oo+NA+Pej+1+Pl+Pl	gigookookohooshnaany1ag

2+gookook'oo+NA+Pej+2+Pl+4	gigookookohooshwaan

2+gookook'oo+NA+Pej+2+Pl+Loc	gigookookohooshwaang

2+gookook'oo+NA+Pej+2+Pl+Pl	gigookookohooshwaaag

3+gookook'oo+NA+Pej+2+Pl+4	ogookookohooshwaan

3+gookook'oo+NA+Pej+2+Pl+Loc	ogookookohooshwaang

3+gookook'oo+NA+Pej+3+4+4	ogookookohooshniwan

3+gookook'oo+NA+Pej+3+4+Loc	ogookookohooshniing

1+gookook'oo+NA+Pej+Prt+4	nigookookohooshibaniin

1+gookook'oo+NA+Pej+Prt+Loc	nigookookohooshibaniing

1+gookook'oo+NA+Pej+Prt+Pl	nigookookohooshibani1ag

2+gookook'oo+NA+Pej+Prt+4	gigookookohooshibaniin

2+gookook'oo+NA+Pej+Prt+Loc	gigookookohooshibaniing

2+gookook'oo+NA+Pej+Prt+Pl	gigookookohooshibani1ag

3+gookook'oo+NA+Pej+Prt+4	ogookookohooshibaniin

3+gookook'oo+NA+Pej+Prt+Loc	ogookookohooshibaniing

X+gookook'oo+NA+Pej+Prt+4	igookookohooshibaniin

X+gookook'oo+NA+Pej+Prt+Loc	igookookohooshibaniing

X+gookook'oo+NA+Pej+Prt+Pl	igookookohooshibani1ag

1+gookook'oo+NA+1+Pl+Prt+4	nigookookohoonaanibaniin

1+gookook'oo+NA+1+Pl+Prt+Loc	nigookookohoonaanibaniing

1+gookook'oo+NA+1+Pl+Prt+Pl	nigookookohoonaanibani1ag

2+gookook'oo+NA+1+Pl+Prt+4	gigookookohoonaanibaniin

2+gookook'oo+NA+1+Pl+Prt+Loc	gigookookohoonaanibaniing

2+gookook'oo+NA+1+Pl+Prt+Pl	gigookookohoonaanibani1ag

2+gookook'oo+NA+2+Pl+Prt+4	gigookookohoowaabaniin

2+gookook'oo+NA+2+Pl+Prt+Loc	gigookookohoowaabaniing

2+gookook'oo+NA+2+Pl+Prt+Pl	gigookookohoowaabani1ag

3+gookook'oo+NA+2+Pl+Prt+4	ogookookohoowaabaniin

3+gookook'oo+NA+2+Pl+Prt+Loc	ogookookohoowaabaniing

3+gookook'oo+NA+3+4+Prt+4	ogookookohooniwibaniin
3+gookook'oo+NA+3+4+Prt+4	ogookookohooniibaniin

3+gookook'oo+NA+3+4+Prt+Loc	ogookookohooniwibaniing
3+gookook'oo+NA+3+4+Prt+Loc	ogookookohooniibaniing

gookook'oo+NA+Con+Pej+Prt+4	gookookohooenyishibaniin

gookook'oo+NA+Con+Pej+Prt+Loc	gookookohooenyishibaniing

gookook'oo+NA+Con+Pej+Prt+Pl	gookookohooenyishibani1ag

gookook'oo+NA+Dim+Pej+Prt+4	gookookohooensishibaniin

gookook'oo+NA+Dim+Pej+Prt+Loc	gookookohooensishibaniing

gookook'oo+NA+Dim+Pej+Prt+Pl	gookookohooensishibani1ag

1+gookook'oo+NA+Con+ThmPos+Pej+1+Pl	nigookookohooenymishnaan
1+gookook'oo+NA+Con+ThmPos+Pej+1+Pl	nigookookohooenymishnaa

1+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl	nigookookohooensmishnaan
1+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl	nigookookohooensmishnaa

2+gookook'oo+NA+Con+ThmPos+Pej+1+Pl	gigookookohooenymishnaan
2+gookook'oo+NA+Con+ThmPos+Pej+1+Pl	gigookookohooenymishnaa

2+gookook'oo+NA+Con+ThmPos+Pej+2+Pl	gigookookohooenymishwaa

2+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl	gigookookohooensmishnaan
2+gookook'oo+NA+Dim+ThmPos+Pej+1+Pl	gigookookohooensmishnaa

2+gookook'oo+NA+Dim+ThmPos+Pej+2+Pl	gigookookohooensmishwaa

3+gookook'oo+NA+Con+ThmPos+Pej+3+4	ogookookohooenymishniw

3+gookook'oo+NA+Dim+ThmPos+Pej+3+4	ogookookohooensmishniw

1+gookook'oo+NA+Con+ThmPos+Pej+Prt	nigookookohooenymishiban
1+gookook'oo+NA+Con+ThmPos+Pej+Prt	nigookookohooenymishiba

1+gookook'oo+NA+Con+ThmPos+Pej+Voc+Pl	nigookookohooenymishdig

1+gookook'oo+NA+Dim+ThmPos+Pej+Prt	nigookookohooensmishiban
1+gookook'oo+NA+Dim+ThmPos+Pej+Prt	nigookookohooensmishiba

1+gookook'oo+NA+Dim+ThmPos+Pej+Voc+Pl	nigookookohooensmishdig

2+gookook'oo+NA+Con+ThmPos+Pej+Prt	gigookookohooenymishiban
2+gookook'oo+NA+Con+ThmPos+Pej+Prt	gigookookohooenymishiba

2+gookook'oo+NA+Con+ThmPos+Pej+Voc+Pl	gigookookohooenymishdig

2+gookook'oo+NA+Dim+ThmPos+Pej+Prt	gigookookohooensmishiban
2+gookook'oo+NA+Dim+ThmPos+Pej+Prt	gigookookohooensmishiba

2+gookook'oo+NA+Dim+ThmPos+Pej+Voc+Pl	gigookookohooensmishdig

X+gookook'oo+NA+Con+ThmPos+Pej+Prt	igookookohooenymishiban
X+gookook'oo+NA+Con+ThmPos+Pej+Prt	igookookohooenymishiba

X+gookook'oo+NA+Con+ThmPos+Pej+Voc+Pl	igookookohooenymishdig

X+gookook'oo+NA+Dim+ThmPos+Pej+Prt	igookookohooensmishiban
X+gookook'oo+NA+Dim+ThmPos+Pej+Prt	igookookohooensmishiba

X+gookook'oo+NA+Dim+ThmPos+Pej+Voc+Pl	igookookohooensmishdig

1+gookook'oo+NA+Con+ThmPos+Pej+4	nigookookohooenymishan

1+gookook'oo+NA+Con+ThmPos+Pej+Loc	nigookookohooenymishing

1+gookook'oo+NA+Con+ThmPos+Pej+Pl	nigookookohooenymishag

1+gookook'oo+NA+Dim+ThmPos+Pej+4	nigookookohooensmishan

1+gookook'oo+NA+Dim+ThmPos+Pej+Loc	nigookookohooensmishing

1+gookook'oo+NA+Dim+ThmPos+Pej+Pl	nigookookohooensmishag

2+gookook'oo+NA+Con+ThmPos+Pej+4	gigookookohooenymishan

2+gookook'oo+NA+Con+ThmPos+Pej+Loc	gigookookohooenymishing

2+gookook'oo+NA+Con+ThmPos+Pej+Pl	gigookookohooenymishag

2+gookook'oo+NA+Dim+ThmPos+Pej+4	gigookookohooensmishan

2+gookook'oo+NA+Dim+ThmPos+Pej+Loc	gigookookohooensmishing

2+gookook'oo+NA+Dim+ThmPos+Pej+Pl	gigookookohooensmishag

3+gookook'oo+NA+Con+ThmPos+Pej+4	ogookookohooenymishan

3+gookook'oo+NA+Con+ThmPos+Pej+Loc	ogookookohooenymishing

3+gookook'oo+NA+Dim+ThmPos+Pej+4	ogookookohooensmishan

3+gookook'oo+NA+Dim+ThmPos+Pej+Loc	ogookookohooensmishing

X+gookook'oo+NA+Con+ThmPos+Pej+4	igookookohooenymishan

X+gookook'oo+NA+Con+ThmPos+Pej+Loc	igookookohooenymishing

X+gookook'oo+NA+Con+ThmPos+Pej+Pl	igookookohooenymishag

X+gookook'oo+NA+Dim+ThmPos+Pej+4	igookookohooensmishan

X+gookook'oo+NA+Dim+ThmPos+Pej+Loc	igookookohooensmishing

X+gookook'oo+NA+Dim+ThmPos+Pej+Pl	igookookohooensmishag

1+gookook'oo+NA+Con+ThmPos+1+Pl+Prt	nigookookohooenymnaaniban
1+gookook'oo+NA+Con+ThmPos+1+Pl+Prt	nigookookohooenymnaaniba

1+gookook'oo+NA+Con+ThmPos+1+Pl+Voc+Pl	nigookookohooenymnaany1dig

1+gookook'oo+NA+Dim+ThmPos+1+Pl+Prt	nigookookohooensmnaaniban
1+gookook'oo+NA+Dim+ThmPos+1+Pl+Prt	nigookookohooensmnaaniba

1+gookook'oo+NA+Dim+ThmPos+1+Pl+Voc+Pl	nigookookohooensmnaany1dig

2+gookook'oo+NA+Con+ThmPos+1+Pl+Prt	gigookookohooenymnaaniban
2+gookook'oo+NA+Con+ThmPos+1+Pl+Prt	gigookookohooenymnaaniba

2+gookook'oo+NA+Con+ThmPos+1+Pl+Voc+Pl	gigookookohooenymnaany1dig

2+gookook'oo+NA+Con+ThmPos+2+Pl+Prt	gigookookohooenymwaaban
2+gookook'oo+NA+Con+ThmPos+2+Pl+Prt	gigookookohooenymwaaba

2+gookook'oo+NA+Con+ThmPos+2+Pl+Voc+Pl	gigookookohooenymwaadig

2+gookook'oo+NA+Dim+ThmPos+1+Pl+Prt	gigookookohooensmnaaniban
2+gookook'oo+NA+Dim+ThmPos+1+Pl+Prt	gigookookohooensmnaaniba

2+gookook'oo+NA+Dim+ThmPos+1+Pl+Voc+Pl	gigookookohooensmnaany1dig

2+gookook'oo+NA+Dim+ThmPos+2+Pl+Prt	gigookookohooensmwaaban
2+gookook'oo+NA+Dim+ThmPos+2+Pl+Prt	gigookookohooensmwaaba

2+gookook'oo+NA+Dim+ThmPos+2+Pl+Voc+Pl	gigookookohooensmwaadig

3+gookook'oo+NA+Con+ThmPos+3+4+Prt	ogookookohooenymniwiban
3+gookook'oo+NA+Con+ThmPos+3+4+Prt	ogookookohooenymniwiba
3+gookook'oo+NA+Con+ThmPos+3+4+Prt	ogookookohooenymniiban
3+gookook'oo+NA+Con+ThmPos+3+4+Prt	ogookookohooenymniiba

3+gookook'oo+NA+Dim+ThmPos+3+4+Prt	ogookookohooensmniwiban
3+gookook'oo+NA+Dim+ThmPos+3+4+Prt	ogookookohooensmniwiba
3+gookook'oo+NA+Dim+ThmPos+3+4+Prt	ogookookohooensmniiban
3+gookook'oo+NA+Dim+ThmPos+3+4+Prt	ogookookohooensmniiba

1+gookook'oo+NA+Con+ThmPos+1+Pl+4	nigookookohooenymnaanin

1+gookook'oo+NA+Con+ThmPos+1+Pl+Loc	nigookookohooenymnaaning

1+gookook'oo+NA+Con+ThmPos+1+Pl+Pl	nigookookohooenymnaany1ag

1+gookook'oo+NA+Dim+ThmPos+1+Pl+4	nigookookohooensmnaanin

1+gookook'oo+NA+Dim+ThmPos+1+Pl+Loc	nigookookohooensmnaaning

1+gookook'oo+NA+Dim+ThmPos+1+Pl+Pl	nigookookohooensmnaany1ag

2+gookook'oo+NA+Con+ThmPos+1+Pl+4	gigookookohooenymnaanin

2+gookook'oo+NA+Con+ThmPos+1+Pl+Loc	gigookookohooenymnaaning

2+gookook'oo+NA+Con+ThmPos+1+Pl+Pl	gigookookohooenymnaany1ag

2+gookook'oo+NA+Con+ThmPos+2+Pl+4	gigookookohooenymwaan

2+gookook'oo+NA+Con+ThmPos+2+Pl+Loc	gigookookohooenymwaang

2+gookook'oo+NA+Con+ThmPos+2+Pl+Pl	gigookookohooenymwaaag

2+gookook'oo+NA+Dim+ThmPos+1+Pl+4	gigookookohooensmnaanin

2+gookook'oo+NA+Dim+ThmPos+1+Pl+Loc	gigookookohooensmnaaning

2+gookook'oo+NA+Dim+ThmPos+1+Pl+Pl	gigookookohooensmnaany1ag

2+gookook'oo+NA+Dim+ThmPos+2+Pl+4	gigookookohooensmwaan

2+gookook'oo+NA+Dim+ThmPos+2+Pl+Loc	gigookookohooensmwaang

2+gookook'oo+NA+Dim+ThmPos+2+Pl+Pl	gigookookohooensmwaaag

3+gookook'oo+NA+Con+ThmPos+2+Pl+4	ogookookohooenymwaan

3+gookook'oo+NA+Con+ThmPos+2+Pl+Loc	ogookookohooenymwaang

3+gookook'oo+NA+Con+ThmPos+3+4+4	ogookookohooenymniwan

3+gookook'oo+NA+Con+ThmPos+3+4+Loc	ogookookohooenymniing

3+gookook'oo+NA+Dim+ThmPos+2+Pl+4	ogookookohooensmwaan

3+gookook'oo+NA+Dim+ThmPos+2+Pl+Loc	ogookookohooensmwaang

3+gookook'oo+NA+Dim+ThmPos+3+4+4	ogookookohooensmniwan

3+gookook'oo+NA+Dim+ThmPos+3+4+Loc	ogookookohooensmniing

1+gookook'oo+NA+Con+ThmPos+Prt+4	nigookookohooenymibaniin

1+gookook'oo+NA+Con+ThmPos+Prt+Loc	nigookookohooenymibaniing

1+gookook'oo+NA+Con+ThmPos+Prt+Pl	nigookookohooenymibani1ag

1+gookook'oo+NA+Dim+ThmPos+Prt+4	nigookookohooensmibaniin

1+gookook'oo+NA+Dim+ThmPos+Prt+Loc	nigookookohooensmibaniing

1+gookook'oo+NA+Dim+ThmPos+Prt+Pl	nigookookohooensmibani1ag

2+gookook'oo+NA+Con+ThmPos+Prt+4	gigookookohooenymibaniin

2+gookook'oo+NA+Con+ThmPos+Prt+Loc	gigookookohooenymibaniing

2+gookook'oo+NA+Con+ThmPos+Prt+Pl	gigookookohooenymibani1ag

2+gookook'oo+NA+Dim+ThmPos+Prt+4	gigookookohooensmibaniin

2+gookook'oo+NA+Dim+ThmPos+Prt+Loc	gigookookohooensmibaniing

2+gookook'oo+NA+Dim+ThmPos+Prt+Pl	gigookookohooensmibani1ag

3+gookook'oo+NA+Con+ThmPos+Prt+4	ogookookohooenymibaniin

3+gookook'oo+NA+Con+ThmPos+Prt+Loc	ogookookohooenymibaniing

3+gookook'oo+NA+Dim+ThmPos+Prt+4	ogookookohooensmibaniin

3+gookook'oo+NA+Dim+ThmPos+Prt+Loc	ogookookohooensmibaniing

X+gookook'oo+NA+Con+ThmPos+Prt+4	igookookohooenymibaniin

X+gookook'oo+NA+Con+ThmPos+Prt+Loc	igookookohooenymibaniing

X+gookook'oo+NA+Con+ThmPos+Prt+Pl	igookookohooenymibani1ag

X+gookook'oo+NA+Dim+ThmPos+Prt+4	igookookohooensmibaniin

X+gookook'oo+NA+Dim+ThmPos+Prt+Loc	igookookohooensmibaniing

X+gookook'oo+NA+Dim+ThmPos+Prt+Pl	igookookohooensmibani1ag

1+gookook'oo+NA+Con+Pej+1+Pl+Prt	nigookookohooenyishnaaniban
1+gookook'oo+NA+Con+Pej+1+Pl+Prt	nigookookohooenyishnaaniba

1+gookook'oo+NA+Con+Pej+1+Pl+Voc+Pl	nigookookohooenyishnaany1dig

1+gookook'oo+NA+Dim+Pej+1+Pl+Prt	nigookookohooensishnaaniban
1+gookook'oo+NA+Dim+Pej+1+Pl+Prt	nigookookohooensishnaaniba

1+gookook'oo+NA+Dim+Pej+1+Pl+Voc+Pl	nigookookohooensishnaany1dig

2+gookook'oo+NA+Con+Pej+1+Pl+Prt	gigookookohooenyishnaaniban
2+gookook'oo+NA+Con+Pej+1+Pl+Prt	gigookookohooenyishnaaniba

2+gookook'oo+NA+Con+Pej+1+Pl+Voc+Pl	gigookookohooenyishnaany1dig

2+gookook'oo+NA+Con+Pej+2+Pl+Prt	gigookookohooenyishwaaban
2+gookook'oo+NA+Con+Pej+2+Pl+Prt	gigookookohooenyishwaaba

2+gookook'oo+NA+Con+Pej+2+Pl+Voc+Pl	gigookookohooenyishwaadig

2+gookook'oo+NA+Dim+Pej+1+Pl+Prt	gigookookohooensishnaaniban
2+gookook'oo+NA+Dim+Pej+1+Pl+Prt	gigookookohooensishnaaniba

2+gookook'oo+NA+Dim+Pej+1+Pl+Voc+Pl	gigookookohooensishnaany1dig

2+gookook'oo+NA+Dim+Pej+2+Pl+Prt	gigookookohooensishwaaban
2+gookook'oo+NA+Dim+Pej+2+Pl+Prt	gigookookohooensishwaaba

2+gookook'oo+NA+Dim+Pej+2+Pl+Voc+Pl	gigookookohooensishwaadig

3+gookook'oo+NA+Con+Pej+3+4+Prt	ogookookohooenyishniwiban
3+gookook'oo+NA+Con+Pej+3+4+Prt	ogookookohooenyishniwiba
3+gookook'oo+NA+Con+Pej+3+4+Prt	ogookookohooenyishniiban
3+gookook'oo+NA+Con+Pej+3+4+Prt	ogookookohooenyishniiba

3+gookook'oo+NA+Dim+Pej+3+4+Prt	ogookookohooensishniwiban
3+gookook'oo+NA+Dim+Pej+3+4+Prt	ogookookohooensishniwiba
3+gookook'oo+NA+Dim+Pej+3+4+Prt	ogookookohooensishniiban
3+gookook'oo+NA+Dim+Pej+3+4+Prt	ogookookohooensishniiba

1+gookook'oo+NA+Con+Pej+1+Pl+4	nigookookohooenyishnaanin

1+gookook'oo+NA+Con+Pej+1+Pl+Loc	nigookookohooenyishnaaning

1+gookook'oo+NA+Con+Pej+1+Pl+Pl	nigookookohooenyishnaany1ag

1+gookook'oo+NA+Dim+Pej+1+Pl+4	nigookookohooensishnaanin

1+gookook'oo+NA+Dim+Pej+1+Pl+Loc	nigookookohooensishnaaning

1+gookook'oo+NA+Dim+Pej+1+Pl+Pl	nigookookohooensishnaany1ag

2+gookook'oo+NA+Con+Pej+1+Pl+4	gigookookohooenyishnaanin

2+gookook'oo+NA+Con+Pej+1+Pl+Loc	gigookookohooenyishnaaning

2+gookook'oo+NA+Con+Pej+1+Pl+Pl	gigookookohooenyishnaany1ag

2+gookook'oo+NA+Con+Pej+2+Pl+4	gigookookohooenyishwaan

2+gookook'oo+NA+Con+Pej+2+Pl+Loc	gigookookohooenyishwaang

2+gookook'oo+NA+Con+Pej+2+Pl+Pl	gigookookohooenyishwaaag

2+gookook'oo+NA+Dim+Pej+1+Pl+4	gigookookohooensishnaanin

2+gookook'oo+NA+Dim+Pej+1+Pl+Loc	gigookookohooensishnaaning

2+gookook'oo+NA+Dim+Pej+1+Pl+Pl	gigookookohooensishnaany1ag

2+gookook'oo+NA+Dim+Pej+2+Pl+4	gigookookohooensishwaan

2+gookook'oo+NA+Dim+Pej+2+Pl+Loc	gigookookohooensishwaang

2+gookook'oo+NA+Dim+Pej+2+Pl+Pl	gigookookohooensishwaaag

3+gookook'oo+NA+Con+Pej+2+Pl+4	ogookookohooenyishwaan

3+gookook'oo+NA+Con+Pej+2+Pl+Loc	ogookookohooenyishwaang

3+gookook'oo+NA+Con+Pej+3+4+4	ogookookohooenyishniwan

3+gookook'oo+NA+Con+Pej+3+4+Loc	ogookookohooenyishniing

3+gookook'oo+NA+Dim+Pej+2+Pl+4	ogookookohooensishwaan

3+gookook'oo+NA+Dim+Pej+2+Pl+Loc	ogookookohooensishwaang

3+gookook'oo+NA+Dim+Pej+3+4+4	ogookookohooensishniwan

3+gookook'oo+NA+Dim+Pej+3+4+Loc	ogookookohooensishniing

1+gookook'oo+NA+Con+Pej+Prt+4	nigookookohooenyishibaniin

1+gookook'oo+NA+Con+Pej+Prt+Loc	nigookookohooenyishibaniing

1+gookook'oo+NA+Con+Pej+Prt+Pl	nigookookohooenyishibani1ag

1+gookook'oo+NA+Dim+Pej+Prt+4	nigookookohooensishibaniin

1+gookook'oo+NA+Dim+Pej+Prt+Loc	nigookookohooensishibaniing

1+gookook'oo+NA+Dim+Pej+Prt+Pl	nigookookohooensishibani1ag

2+gookook'oo+NA+Con+Pej+Prt+4	gigookookohooenyishibaniin

2+gookook'oo+NA+Con+Pej+Prt+Loc	gigookookohooenyishibaniing

2+gookook'oo+NA+Con+Pej+Prt+Pl	gigookookohooenyishibani1ag

2+gookook'oo+NA+Dim+Pej+Prt+4	gigookookohooensishibaniin

2+gookook'oo+NA+Dim+Pej+Prt+Loc	gigookookohooensishibaniing

2+gookook'oo+NA+Dim+Pej+Prt+Pl	gigookookohooensishibani1ag

3+gookook'oo+NA+Con+Pej+Prt+4	ogookookohooenyishibaniin

3+gookook'oo+NA+Con+Pej+Prt+Loc	ogookookohooenyishibaniing

3+gookook'oo+NA+Dim+Pej+Prt+4	ogookookohooensishibaniin

3+gookook'oo+NA+Dim+Pej+Prt+Loc	ogookookohooensishibaniing

X+gookook'oo+NA+Con+Pej+Prt+4	igookookohooenyishibaniin

X+gookook'oo+NA+Con+Pej+Prt+Loc	igookookohooenyishibaniing

X+gookook'oo+NA+Con+Pej+Prt+Pl	igookookohooenyishibani1ag

X+gookook'oo+NA+Dim+Pej+Prt+4	igookookohooensishibaniin

X+gookook'oo+NA+Dim+Pej+Prt+Loc	igookookohooensishibaniing

X+gookook'oo+NA+Dim+Pej+Prt+Pl	igookookohooensishibani1ag

1+gookook'oo+NA+Con+1+Pl+Prt+4	nigookookohooenynaanibaniin

1+gookook'oo+NA+Con+1+Pl+Prt+Loc	nigookookohooenynaanibaniing

1+gookook'oo+NA+Con+1+Pl+Prt+Pl	nigookookohooenynaanibani1ag

1+gookook'oo+NA+Dim+1+Pl+Prt+4	nigookookohooensnaanibaniin

1+gookook'oo+NA+Dim+1+Pl+Prt+Loc	nigookookohooensnaanibaniing

1+gookook'oo+NA+Dim+1+Pl+Prt+Pl	nigookookohooensnaanibani1ag

2+gookook'oo+NA+Con+1+Pl+Prt+4	gigookookohooenynaanibaniin

2+gookook'oo+NA+Con+1+Pl+Prt+Loc	gigookookohooenynaanibaniing

