mtigwaap+NA	mitigwaabi1
2+mtigwaap+NA+Con+Pej+4	gimitigwaabi1enyishan

2+mtigwaap+NA+Con+Pej+Loc	gimitigwaabi1enyishing

2+mtigwaap+NA+Con+Pej+Pl	gimitigwaabi1enyishag

2+mtigwaap+NA+Dim+Pej+4	gimitigwaabi1ensishan

2+mtigwaap+NA+Dim+Pej+Loc	gimitigwaabi1ensishing

2+mtigwaap+NA+Dim+Pej+Pl	gimitigwaabi1ensishag

3+mtigwaap+NA+Con+Pej+4	omitigwaabi1enyishan

3+mtigwaap+NA+Con+Pej+Loc	omitigwaabi1enyishing

3+mtigwaap+NA+Dim+Pej+4	omitigwaabi1ensishan

3+mtigwaap+NA+Dim+Pej+Loc	omitigwaabi1ensishing

X+mtigwaap+NA+Con+Pej+4	imitigwaabi1enyishan

X+mtigwaap+NA+Con+Pej+Loc	imitigwaabi1enyishing

X+mtigwaap+NA+Con+Pej+Pl	imitigwaabi1enyishag

X+mtigwaap+NA+Dim+Pej+4	imitigwaabi1ensishan

X+mtigwaap+NA+Dim+Pej+Loc	imitigwaabi1ensishing

X+mtigwaap+NA+Dim+Pej+Pl	imitigwaabi1ensishag

1+mtigwaap+NA+Con+1+Pl+Prt	nimitigwaabi1enynaaniban
1+mtigwaap+NA+Con+1+Pl+Prt	nimitigwaabi1enynaaniba

1+mtigwaap+NA+Con+1+Pl+Voc+Pl	nimitigwaabi1enynaany1dig

1+mtigwaap+NA+Dim+1+Pl+Prt	nimitigwaabi1ensnaaniban
1+mtigwaap+NA+Dim+1+Pl+Prt	nimitigwaabi1ensnaaniba

1+mtigwaap+NA+Dim+1+Pl+Voc+Pl	nimitigwaabi1ensnaany1dig

2+mtigwaap+NA+Con+1+Pl+Prt	gimitigwaabi1enynaaniban
2+mtigwaap+NA+Con+1+Pl+Prt	gimitigwaabi1enynaaniba

2+mtigwaap+NA+Con+1+Pl+Voc+Pl	gimitigwaabi1enynaany1dig

2+mtigwaap+NA+Con+2+Pl+Prt	gimitigwaabi1enywaaban
2+mtigwaap+NA+Con+2+Pl+Prt	gimitigwaabi1enywaaba

2+mtigwaap+NA+Con+2+Pl+Voc+Pl	gimitigwaabi1enywaadig

2+mtigwaap+NA+Dim+1+Pl+Prt	gimitigwaabi1ensnaaniban
2+mtigwaap+NA+Dim+1+Pl+Prt	gimitigwaabi1ensnaaniba

