mtigwaap+NA	mitigwaabi1
2+mtigwaap+NA+Con+Pej+2+Pl+Loc	gimitigwaabi1enyishwaang

2+mtigwaap+NA+Con+Pej+2+Pl+Pl	gimitigwaabi1enyishwaaag

2+mtigwaap+NA+Dim+Pej+1+Pl+4	gimitigwaabi1ensishnaanin

2+mtigwaap+NA+Dim+Pej+1+Pl+Loc	gimitigwaabi1ensishnaaning

2+mtigwaap+NA+Dim+Pej+1+Pl+Pl	gimitigwaabi1ensishnaany1ag

2+mtigwaap+NA+Dim+Pej+2+Pl+4	gimitigwaabi1ensishwaan

2+mtigwaap+NA+Dim+Pej+2+Pl+Loc	gimitigwaabi1ensishwaang

2+mtigwaap+NA+Dim+Pej+2+Pl+Pl	gimitigwaabi1ensishwaaag

3+mtigwaap+NA+Con+Pej+2+Pl+4	omitigwaabi1enyishwaan

3+mtigwaap+NA+Con+Pej+2+Pl+Loc	omitigwaabi1enyishwaang

3+mtigwaap+NA+Con+Pej+3+4+4	omitigwaabi1enyishniwan

3+mtigwaap+NA+Con+Pej+3+4+Loc	omitigwaabi1enyishniing

3+mtigwaap+NA+Dim+Pej+2+Pl+4	omitigwaabi1ensishwaan

3+mtigwaap+NA+Dim+Pej+2+Pl+Loc	omitigwaabi1ensishwaang

3+mtigwaap+NA+Dim+Pej+3+4+4	omitigwaabi1ensishniwan

3+mtigwaap+NA+Dim+Pej+3+4+Loc	omitigwaabi1ensishniing

1+mtigwaap+NA+Con+Pej+Prt+4	nimitigwaabi1enyishibaniin

1+mtigwaap+NA+Con+Pej+Prt+Loc	nimitigwaabi1enyishibaniing

1+mtigwaap+NA+Con+Pej+Prt+Pl	nimitigwaabi1enyishibani1ag

1+mtigwaap+NA+Dim+Pej+Prt+4	nimitigwaabi1ensishibaniin

1+mtigwaap+NA+Dim+Pej+Prt+Loc	nimitigwaabi1ensishibaniing

1+mtigwaap+NA+Dim+Pej+Prt+Pl	nimitigwaabi1ensishibani1ag

2+mtigwaap+NA+Con+Pej+Prt+4	gimitigwaabi1enyishibaniin

2+mtigwaap+NA+Con+Pej+Prt+Loc	gimitigwaabi1enyishibaniing

2+mtigwaap+NA+Con+Pej+Prt+Pl	gimitigwaabi1enyishibani1ag

2+mtigwaap+NA+Dim+Pej+Prt+4	gimitigwaabi1ensishibaniin

2+mtigwaap+NA+Dim+Pej+Prt+Loc	gimitigwaabi1ensishibaniing

2+mtigwaap+NA+Dim+Pej+Prt+Pl	gimitigwaabi1ensishibani1ag

3+mtigwaap+NA+Con+Pej+Prt+4	omitigwaabi1enyishibaniin

3+mtigwaap+NA+Con+Pej+Prt+Loc	omitigwaabi1enyishibaniing

3+mtigwaap+NA+Dim+Pej+Prt+4	omitigwaabi1ensishibaniin

3+mtigwaap+NA+Dim+Pej+Prt+Loc	omitigwaabi1ensishibaniing

X+mtigwaap+NA+Con+Pej+Prt+4	imitigwaabi1enyishibaniin

X+mtigwaap+NA+Con+Pej+Prt+Loc	imitigwaabi1enyishibaniing

X+mtigwaap+NA+Con+Pej+Prt+Pl	imitigwaabi1enyishibani1ag

X+mtigwaap+NA+Dim+Pej+Prt+4	imitigwaabi1ensishibaniin

X+mtigwaap+NA+Dim+Pej+Prt+Loc	imitigwaabi1ensishibaniing

X+mtigwaap+NA+Dim+Pej+Prt+Pl	imitigwaabi1ensishibani1ag

1+mtigwaap+NA+Con+1+Pl+Prt+4	nimitigwaabi1enynaanibaniin

1+mtigwaap+NA+Con+1+Pl+Prt+Loc	nimitigwaabi1enynaanibaniing

1+mtigwaap+NA+Con+1+Pl+Prt+Pl	nimitigwaabi1enynaanibani1ag

1+mtigwaap+NA+Dim+1+Pl+Prt+4	nimitigwaabi1ensnaanibaniin

1+mtigwaap+NA+Dim+1+Pl+Prt+Loc	nimitigwaabi1ensnaanibaniing

1+mtigwaap+NA+Dim+1+Pl+Prt+Pl	nimitigwaabi1ensnaanibani1ag

2+mtigwaap+NA+Con+1+Pl+Prt+4	gimitigwaabi1enynaanibaniin

2+mtigwaap+NA+Con+1+Pl+Prt+Loc	gimitigwaabi1enynaanibaniing

2+mtigwaap+NA+Con+1+Pl+Prt+Pl	gimitigwaabi1enynaanibani1ag

2+mtigwaap+NA+Con+2+Pl+Prt+4	gimitigwaabi1enywaabaniin

2+mtigwaap+NA+Con+2+Pl+Prt+Loc	gimitigwaabi1enywaabaniing

2+mtigwaap+NA+Con+2+Pl+Prt+Pl	gimitigwaabi1enywaabani1ag

2+mtigwaap+NA+Dim+1+Pl+Prt+4	gimitigwaabi1ensnaanibaniin

2+mtigwaap+NA+Dim+1+Pl+Prt+Loc	gimitigwaabi1ensnaanibaniing

2+mtigwaap+NA+Dim+1+Pl+Prt+Pl	gimitigwaabi1ensnaanibani1ag

2+mtigwaap+NA+Dim+2+Pl+Prt+4	gimitigwaabi1enswaabaniin

2+mtigwaap+NA+Dim+2+Pl+Prt+Loc	gimitigwaabi1enswaabaniing

2+mtigwaap+NA+Dim+2+Pl+Prt+Pl	gimitigwaabi1enswaabani1ag

3+mtigwaap+NA+Con+2+Pl+Prt+4	omitigwaabi1enywaabaniin

3+mtigwaap+NA+Con+2+Pl+Prt+Loc	omitigwaabi1enywaabaniing

3+mtigwaap+NA+Con+3+4+Prt+4	omitigwaabi1enyniwibaniin
3+mtigwaap+NA+Con+3+4+Prt+4	omitigwaabi1enyniibaniin

3+mtigwaap+NA+Con+3+4+Prt+Loc	omitigwaabi1enyniwibaniing
3+mtigwaap+NA+Con+3+4+Prt+Loc	omitigwaabi1enyniibaniing

3+mtigwaap+NA+Dim+2+Pl+Prt+4	omitigwaabi1enswaabaniin

3+mtigwaap+NA+Dim+2+Pl+Prt+Loc	omitigwaabi1enswaabaniing

3+mtigwaap+NA+Dim+3+4+Prt+4	omitigwaabi1ensniwibaniin
3+mtigwaap+NA+Dim+3+4+Prt+4	omitigwaabi1ensniibaniin

3+mtigwaap+NA+Dim+3+4+Prt+Loc	omitigwaabi1ensniwibaniing
3+mtigwaap+NA+Dim+3+4+Prt+Loc	omitigwaabi1ensniibaniing

1+mtigwaap+NA+ThmPos+Pej+1+Pl+Prt	nimitigwaabi1mishnaaniban
1+mtigwaap+NA+ThmPos+Pej+1+Pl+Prt	nimitigwaabi1mishnaaniba

1+mtigwaap+NA+ThmPos+Pej+1+Pl+Voc+Pl	nimitigwaabi1mishnaany1dig

2+mtigwaap+NA+ThmPos+Pej+1+Pl+Prt	gimitigwaabi1mishnaaniban
2+mtigwaap+NA+ThmPos+Pej+1+Pl+Prt	gimitigwaabi1mishnaaniba

2+mtigwaap+NA+ThmPos+Pej+1+Pl+Voc+Pl	gimitigwaabi1mishnaany1dig

2+mtigwaap+NA+ThmPos+Pej+2+Pl+Prt	gimitigwaabi1mishwaaban
2+mtigwaap+NA+ThmPos+Pej+2+Pl+Prt	gimitigwaabi1mishwaaba

2+mtigwaap+NA+ThmPos+Pej+2+Pl+Voc+Pl	gimitigwaabi1mishwaadig

3+mtigwaap+NA+ThmPos+Pej+3+4+Prt	omitigwaabi1mishniwiban
3+mtigwaap+NA+ThmPos+Pej+3+4+Prt	omitigwaabi1mishniwiba
3+mtigwaap+NA+ThmPos+Pej+3+4+Prt	omitigwaabi1mishniiban
3+mtigwaap+NA+ThmPos+Pej+3+4+Prt	omitigwaabi1mishniiba

1+mtigwaap+NA+ThmPos+Pej+1+Pl+4	nimitigwaabi1mishnaanin

1+mtigwaap+NA+ThmPos+Pej+1+Pl+Loc	nimitigwaabi1mishnaaning

1+mtigwaap+NA+ThmPos+Pej+1+Pl+Pl	nimitigwaabi1mishnaany1ag

2+mtigwaap+NA+ThmPos+Pej+1+Pl+4	gimitigwaabi1mishnaanin

2+mtigwaap+NA+ThmPos+Pej+1+Pl+Loc	gimitigwaabi1mishnaaning

2+mtigwaap+NA+ThmPos+Pej+1+Pl+Pl	gimitigwaabi1mishnaany1ag

2+mtigwaap+NA+ThmPos+Pej+2+Pl+4	gimitigwaabi1mishwaan

2+mtigwaap+NA+ThmPos+Pej+2+Pl+Loc	gimitigwaabi1mishwaang

2+mtigwaap+NA+ThmPos+Pej+2+Pl+Pl	gimitigwaabi1mishwaaag

3+mtigwaap+NA+ThmPos+Pej+2+Pl+4	omitigwaabi1mishwaan

3+mtigwaap+NA+ThmPos+Pej+2+Pl+Loc	omitigwaabi1mishwaang

3+mtigwaap+NA+ThmPos+Pej+3+4+4	omitigwaabi1mishniwan

3+mtigwaap+NA+ThmPos+Pej+3+4+Loc	omitigwaabi1mishniing

1+mtigwaap+NA+ThmPos+Pej+Prt+4	nimitigwaabi1mishibaniin

1+mtigwaap+NA+ThmPos+Pej+Prt+Loc	nimitigwaabi1mishibaniing

1+mtigwaap+NA+ThmPos+Pej+Prt+Pl	nimitigwaabi1mishibani1ag

2+mtigwaap+NA+ThmPos+Pej+Prt+4	gimitigwaabi1mishibaniin

2+mtigwaap+NA+ThmPos+Pej+Prt+Loc	gimitigwaabi1mishibaniing

2+mtigwaap+NA+ThmPos+Pej+Prt+Pl	gimitigwaabi1mishibani1ag

3+mtigwaap+NA+ThmPos+Pej+Prt+4	omitigwaabi1mishibaniin

3+mtigwaap+NA+ThmPos+Pej+Prt+Loc	omitigwaabi1mishibaniing

X+mtigwaap+NA+ThmPos+Pej+Prt+4	imitigwaabi1mishibaniin

X+mtigwaap+NA+ThmPos+Pej+Prt+Loc	imitigwaabi1mishibaniing

X+mtigwaap+NA+ThmPos+Pej+Prt+Pl	imitigwaabi1mishibani1ag

1+mtigwaap+NA+ThmPos+1+Pl+Prt+4	nimitigwaabi1mnaanibaniin

1+mtigwaap+NA+ThmPos+1+Pl+Prt+Loc	nimitigwaabi1mnaanibaniing

1+mtigwaap+NA+ThmPos+1+Pl+Prt+Pl	nimitigwaabi1mnaanibani1ag

2+mtigwaap+NA+ThmPos+1+Pl+Prt+4	gimitigwaabi1mnaanibaniin

2+mtigwaap+NA+ThmPos+1+Pl+Prt+Loc	gimitigwaabi1mnaanibaniing

2+mtigwaap+NA+ThmPos+1+Pl+Prt+Pl	gimitigwaabi1mnaanibani1ag

2+mtigwaap+NA+ThmPos+2+Pl+Prt+4	gimitigwaabi1mwaabaniin

2+mtigwaap+NA+ThmPos+2+Pl+Prt+Loc	gimitigwaabi1mwaabaniing

2+mtigwaap+NA+ThmPos+2+Pl+Prt+Pl	gimitigwaabi1mwaabani1ag

3+mtigwaap+NA+ThmPos+2+Pl+Prt+4	omitigwaabi1mwaabaniin

3+mtigwaap+NA+ThmPos+2+Pl+Prt+Loc	omitigwaabi1mwaabaniing

3+mtigwaap+NA+ThmPos+3+4+Prt+4	omitigwaabi1mniwibaniin
3+mtigwaap+NA+ThmPos+3+4+Prt+4	omitigwaabi1mniibaniin

3+mtigwaap+NA+ThmPos+3+4+Prt+Loc	omitigwaabi1mniwibaniing
3+mtigwaap+NA+ThmPos+3+4+Prt+Loc	omitigwaabi1mniibaniing

1+mtigwaap+NA+Pej+1+Pl+Prt+4	nimitigwaabi1shnaanibaniin

1+mtigwaap+NA+Pej+1+Pl+Prt+Loc	nimitigwaabi1shnaanibaniing

1+mtigwaap+NA+Pej+1+Pl+Prt+Pl	nimitigwaabi1shnaanibani1ag

2+mtigwaap+NA+Pej+1+Pl+Prt+4	gimitigwaabi1shnaanibaniin

2+mtigwaap+NA+Pej+1+Pl+Prt+Loc	gimitigwaabi1shnaanibaniing

2+mtigwaap+NA+Pej+1+Pl+Prt+Pl	gimitigwaabi1shnaanibani1ag

2+mtigwaap+NA+Pej+2+Pl+Prt+4	gimitigwaabi1shwaabaniin

2+mtigwaap+NA+Pej+2+Pl+Prt+Loc	gimitigwaabi1shwaabaniing

2+mtigwaap+NA+Pej+2+Pl+Prt+Pl	gimitigwaabi1shwaabani1ag

3+mtigwaap+NA+Pej+2+Pl+Prt+4	omitigwaabi1shwaabaniin

3+mtigwaap+NA+Pej+2+Pl+Prt+Loc	omitigwaabi1shwaabaniing

3+mtigwaap+NA+Pej+3+4+Prt+4	omitigwaabi1shniwibaniin
3+mtigwaap+NA+Pej+3+4+Prt+4	omitigwaabi1shniibaniin

3+mtigwaap+NA+Pej+3+4+Prt+Loc	omitigwaabi1shniwibaniing
3+mtigwaap+NA+Pej+3+4+Prt+Loc	omitigwaabi1shniibaniing

1+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+Prt	nimitigwaabi1enymishnaaniban
1+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+Prt	nimitigwaabi1enymishnaaniba

1+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+Voc+Pl	nimitigwaabi1enymishnaany1dig

1+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+Prt	nimitigwaabi1ensmishnaaniban
1+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+Prt	nimitigwaabi1ensmishnaaniba

1+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+Voc+Pl	nimitigwaabi1ensmishnaany1dig

2+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+Prt	gimitigwaabi1enymishnaaniban
2+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+Prt	gimitigwaabi1enymishnaaniba

2+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+Voc+Pl	gimitigwaabi1enymishnaany1dig

2+mtigwaap+NA+Con+ThmPos+Pej+2+Pl+Prt	gimitigwaabi1enymishwaaban
2+mtigwaap+NA+Con+ThmPos+Pej+2+Pl+Prt	gimitigwaabi1enymishwaaba

2+mtigwaap+NA+Con+ThmPos+Pej+2+Pl+Voc+Pl	gimitigwaabi1enymishwaadig

2+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+Prt	gimitigwaabi1ensmishnaaniban
2+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+Prt	gimitigwaabi1ensmishnaaniba

2+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+Voc+Pl	gimitigwaabi1ensmishnaany1dig

2+mtigwaap+NA+Dim+ThmPos+Pej+2+Pl+Prt	gimitigwaabi1ensmishwaaban
2+mtigwaap+NA+Dim+ThmPos+Pej+2+Pl+Prt	gimitigwaabi1ensmishwaaba

2+mtigwaap+NA+Dim+ThmPos+Pej+2+Pl+Voc+Pl	gimitigwaabi1ensmishwaadig

3+mtigwaap+NA+Con+ThmPos+Pej+3+4+Prt	omitigwaabi1enymishniwiban
3+mtigwaap+NA+Con+ThmPos+Pej+3+4+Prt	omitigwaabi1enymishniwiba
3+mtigwaap+NA+Con+ThmPos+Pej+3+4+Prt	omitigwaabi1enymishniiban
3+mtigwaap+NA+Con+ThmPos+Pej+3+4+Prt	omitigwaabi1enymishniiba

3+mtigwaap+NA+Dim+ThmPos+Pej+3+4+Prt	omitigwaabi1ensmishniwiban
3+mtigwaap+NA+Dim+ThmPos+Pej+3+4+Prt	omitigwaabi1ensmishniwiba
3+mtigwaap+NA+Dim+ThmPos+Pej+3+4+Prt	omitigwaabi1ensmishniiban
3+mtigwaap+NA+Dim+ThmPos+Pej+3+4+Prt	omitigwaabi1ensmishniiba

1+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+4	nimitigwaabi1enymishnaanin

1+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+Loc	nimitigwaabi1enymishnaaning

1+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+Pl	nimitigwaabi1enymishnaany1ag

1+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+4	nimitigwaabi1ensmishnaanin

1+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+Loc	nimitigwaabi1ensmishnaaning

1+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+Pl	nimitigwaabi1ensmishnaany1ag

2+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+4	gimitigwaabi1enymishnaanin

2+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+Loc	gimitigwaabi1enymishnaaning

2+mtigwaap+NA+Con+ThmPos+Pej+1+Pl+Pl	gimitigwaabi1enymishnaany1ag

2+mtigwaap+NA+Con+ThmPos+Pej+2+Pl+4	gimitigwaabi1enymishwaan

2+mtigwaap+NA+Con+ThmPos+Pej+2+Pl+Loc	gimitigwaabi1enymishwaang

2+mtigwaap+NA+Con+ThmPos+Pej+2+Pl+Pl	gimitigwaabi1enymishwaaag

2+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+4	gimitigwaabi1ensmishnaanin

2+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+Loc	gimitigwaabi1ensmishnaaning

2+mtigwaap+NA+Dim+ThmPos+Pej+1+Pl+Pl	gimitigwaabi1ensmishnaany1ag

2+mtigwaap+NA+Dim+ThmPos+Pej+2+Pl+4	gimitigwaabi1ensmishwaan

2+mtigwaap+NA+Dim+ThmPos+Pej+2+Pl+Loc	gimitigwaabi1ensmishwaang

2+mtigwaap+NA+Dim+ThmPos+Pej+2+Pl+Pl	gimitigwaabi1ensmishwaaag

3+mtigwaap+NA+Con+ThmPos+Pej+2+Pl+4	omitigwaabi1enymishwaan

3+mtigwaap+NA+Con+ThmPos+Pej+2+Pl+Loc	omitigwaabi1enymishwaang

3+mtigwaap+NA+Con+ThmPos+Pej+3+4+4	omitigwaabi1enymishniwan

3+mtigwaap+NA+Con+ThmPos+Pej+3+4+Loc	omitigwaabi1enymishniing

3+mtigwaap+NA+Dim+ThmPos+Pej+2+Pl+4	omitigwaabi1ensmishwaan

3+mtigwaap+NA+Dim+ThmPos+Pej+2+Pl+Loc	omitigwaabi1ensmishwaang

3+mtigwaap+NA+Dim+ThmPos+Pej+3+4+4	omitigwaabi1ensmishniwan

3+mtigwaap+NA+Dim+ThmPos+Pej+3+4+Loc	omitigwaabi1ensmishniing

1+mtigwaap+NA+Con+ThmPos+Pej+Prt+4	nimitigwaabi1enymishibaniin

1+mtigwaap+NA+Con+ThmPos+Pej+Prt+Loc	nimitigwaabi1enymishibaniing

1+mtigwaap+NA+Con+ThmPos+Pej+Prt+Pl	nimitigwaabi1enymishibani1ag

1+mtigwaap+NA+Dim+ThmPos+Pej+Prt+4	nimitigwaabi1ensmishibaniin

1+mtigwaap+NA+Dim+ThmPos+Pej+Prt+Loc	nimitigwaabi1ensmishibaniing

1+mtigwaap+NA+Dim+ThmPos+Pej+Prt+Pl	nimitigwaabi1ensmishibani1ag

2+mtigwaap+NA+Con+ThmPos+Pej+Prt+4	gimitigwaabi1enymishibaniin

2+mtigwaap+NA+Con+ThmPos+Pej+Prt+Loc	gimitigwaabi1enymishibaniing

2+mtigwaap+NA+Con+ThmPos+Pej+Prt+Pl	gimitigwaabi1enymishibani1ag

2+mtigwaap+NA+Dim+ThmPos+Pej+Prt+4	gimitigwaabi1ensmishibaniin

2+mtigwaap+NA+Dim+ThmPos+Pej+Prt+Loc	gimitigwaabi1ensmishibaniing

2+mtigwaap+NA+Dim+ThmPos+Pej+Prt+Pl	gimitigwaabi1ensmishibani1ag

3+mtigwaap+NA+Con+ThmPos+Pej+Prt+4	omitigwaabi1enymishibaniin

3+mtigwaap+NA+Con+ThmPos+Pej+Prt+Loc	omitigwaabi1enymishibaniing

3+mtigwaap+NA+Dim+ThmPos+Pej+Prt+4	omitigwaabi1ensmishibaniin

3+mtigwaap+NA+Dim+ThmPos+Pej+Prt+Loc	omitigwaabi1ensmishibaniing

X+mtigwaap+NA+Con+ThmPos+Pej+Prt+4	imitigwaabi1enymishibaniin

X+mtigwaap+NA+Con+ThmPos+Pej+Prt+Loc	imitigwaabi1enymishibaniing

X+mtigwaap+NA+Con+ThmPos+Pej+Prt+Pl	imitigwaabi1enymishibani1ag

X+mtigwaap+NA+Dim+ThmPos+Pej+Prt+4	imitigwaabi1ensmishibaniin

X+mtigwaap+NA+Dim+ThmPos+Pej+Prt+Loc	imitigwaabi1ensmishibaniing

X+mtigwaap+NA+Dim+ThmPos+Pej+Prt+Pl	imitigwaabi1ensmishibani1ag

1+mtigwaap+NA+Con+ThmPos+1+Pl+Prt+4	nimitigwaabi1enymnaanibaniin

1+mtigwaap+NA+Con+ThmPos+1+Pl+Prt+Loc	nimitigwaabi1enymnaanibaniing

1+mtigwaap+NA+Con+ThmPos+1+Pl+Prt+Pl	nimitigwaabi1enymnaanibani1ag

1+mtigwaap+NA+Dim+ThmPos+1+Pl+Prt+4	nimitigwaabi1ensmnaanibaniin

1+mtigwaap+NA+Dim+ThmPos+1+Pl+Prt+Loc	nimitigwaabi1ensmnaanibaniing

1+mtigwaap+NA+Dim+ThmPos+1+Pl+Prt+Pl	nimitigwaabi1ensmnaanibani1ag

2+mtigwaap+NA+Con+ThmPos+1+Pl+Prt+4	gimitigwaabi1enymnaanibaniin

2+mtigwaap+NA+Con+ThmPos+1+Pl+Prt+Loc	gimitigwaabi1enymnaanibaniing

2+mtigwaap+NA+Con+ThmPos+1+Pl+Prt+Pl	gimitigwaabi1enymnaanibani1ag

2+mtigwaap+NA+Con+ThmPos+2+Pl+Prt+4	gimitigwaabi1enymwaabaniin

2+mtigwaap+NA+Con+ThmPos+2+Pl+Prt+Loc	gimitigwaabi1enymwaabaniing

2+mtigwaap+NA+Con+ThmPos+2+Pl+Prt+Pl	gimitigwaabi1enymwaabani1ag

2+mtigwaap+NA+Dim+ThmPos+1+Pl+Prt+4	gimitigwaabi1ensmnaanibaniin

2+mtigwaap+NA+Dim+ThmPos+1+Pl+Prt+Loc	gimitigwaabi1ensmnaanibaniing

2+mtigwaap+NA+Dim+ThmPos+1+Pl+Prt+Pl	gimitigwaabi1ensmnaanibani1ag

2+mtigwaap+NA+Dim+ThmPos+2+Pl+Prt+4	gimitigwaabi1ensmwaabaniin

2+mtigwaap+NA+Dim+ThmPos+2+Pl+Prt+Loc	gimitigwaabi1ensmwaabaniing

2+mtigwaap+NA+Dim+ThmPos+2+Pl+Prt+Pl	gimitigwaabi1ensmwaabani1ag

3+mtigwaap+NA+Con+ThmPos+2+Pl+Prt+4	omitigwaabi1enymwaabaniin

3+mtigwaap+NA+Con+ThmPos+2+Pl+Prt+Loc	omitigwaabi1enymwaabaniing

3+mtigwaap+NA+Con+ThmPos+3+4+Prt+4	omitigwaabi1enymniwibaniin
3+mtigwaap+NA+Con+ThmPos+3+4+Prt+4	omitigwaabi1enymniibaniin

3+mtigwaap+NA+Con+ThmPos+3+4+Prt+Loc	omitigwaabi1enymniwibaniing
3+mtigwaap+NA+Con+ThmPos+3+4+Prt+Loc	omitigwaabi1enymniibaniing

3+mtigwaap+NA+Dim+ThmPos+2+Pl+Prt+4	omitigwaabi1ensmwaabaniin

3+mtigwaap+NA+Dim+ThmPos+2+Pl+Prt+Loc	omitigwaabi1ensmwaabaniing

3+mtigwaap+NA+Dim+ThmPos+3+4+Prt+4	omitigwaabi1ensmniwibaniin
3+mtigwaap+NA+Dim+ThmPos+3+4+Prt+4	omitigwaabi1ensmniibaniin

3+mtigwaap+NA+Dim+ThmPos+3+4+Prt+Loc	omitigwaabi1ensmniwibaniing
3+mtigwaap+NA+Dim+ThmPos+3+4+Prt+Loc	omitigwaabi1ensmniibaniing

1+mtigwaap+NA+Con+Pej+1+Pl+Prt+4	nimitigwaabi1enyishnaanibaniin

1+mtigwaap+NA+Con+Pej+1+Pl+Prt+Loc	nimitigwaabi1enyishnaanibaniing

1+mtigwaap+NA+Con+Pej+1+Pl+Prt+Pl	nimitigwaabi1enyishnaanibani1ag

1+mtigwaap+NA+Dim+Pej+1+Pl+Prt+4	nimitigwaabi1ensishnaanibaniin

1+mtigwaap+NA+Dim+Pej+1+Pl+Prt+Loc	nimitigwaabi1ensishnaanibaniing

1+mtigwaap+NA+Dim+Pej+1+Pl+Prt+Pl	nimitigwaabi1ensishnaanibani1ag

2+mtigwaap+NA+Con+Pej+1+Pl+Prt+4	gimitigwaabi1enyishnaanibaniin

2+mtigwaap+NA+Con+Pej+1+Pl+Prt+Loc	gimitigwaabi1enyishnaanibaniing

2+mtigwaap+NA+Con+Pej+1+Pl+Prt+Pl	gimitigwaabi1enyishnaanibani1ag

2+mtigwaap+NA+Con+Pej+2+Pl+Prt+4	gimitigwaabi1enyishwaabaniin

2+mtigwaap+NA+Con+Pej+2+Pl+Prt+Loc	gimitigwaabi1enyishwaabaniing

2+mtigwaap+NA+Con+Pej+2+Pl+Prt+Pl	gimitigwaabi1enyishwaabani1ag

2+mtigwaap+NA+Dim+Pej+1+Pl+Prt+4	gimitigwaabi1ensishnaanibaniin

2+mtigwaap+NA+Dim+Pej+1+Pl+Prt+Loc	gimitigwaabi1ensishnaanibaniing

2+mtigwaap+NA+Dim+Pej+1+Pl+Prt+Pl	gimitigwaabi1ensishnaanibani1ag

2+mtigwaap+NA+Dim+Pej+2+Pl+Prt+4	gimitigwaabi1ensishwaabaniin

2+mtigwaap+NA+Dim+Pej+2+Pl+Prt+Loc	gimitigwaabi1ensishwaabaniing

2+mtigwaap+NA+Dim+Pej+2+Pl+Prt+Pl	gimitigwaabi1ensishwaabani1ag

3+mtigwaap+NA+Con+Pej+2+Pl+Prt+4	omitigwaabi1enyishwaabaniin

3+mtigwaap+NA+Con+Pej+2+Pl+Prt+Loc	omitigwaabi1enyishwaabaniing

3+mtigwaap+NA+Con+Pej+3+4+Prt+4	omitigwaabi1enyishniwibaniin
3+mtigwaap+NA+Con+Pej+3+4+Prt+4	omitigwaabi1enyishniibaniin

3+mtigwaap+NA+Con+Pej+3+4+Prt+Loc	omitigwaabi1enyishniwibaniing
3+mtigwaap+NA+Con+Pej+3+4+Prt+Loc	omitigwaabi1enyishniibaniing

3+mtigwaap+NA+Dim+Pej+2+Pl+Prt+4	omitigwaabi1ensishwaabaniin

3+mtigwaap+NA+Dim+Pej+2+Pl+Prt+Loc	omitigwaabi1ensishwaabaniing

3+mtigwaap+NA+Dim+Pej+3+4+Prt+4	omitigwaabi1ensishniwibaniin
3+mtigwaap+NA+Dim+Pej+3+4+Prt+4	omitigwaabi1ensishniibaniin

3+mtigwaap+NA+Dim+Pej+3+4+Prt+Loc	omitigwaabi1ensishniwibaniing
3+mtigwaap+NA+Dim+Pej+3+4+Prt+Loc	omitigwaabi1ensishniibaniing

1+mtigwaap+NA+ThmPos+Pej+1+Pl+Prt+4	nimitigwaabi1mishnaanibaniin

1+mtigwaap+NA+ThmPos+Pej+1+Pl+Prt+Loc	nimitigwaabi1mishnaanibaniing

1+mtigwaap+NA+ThmPos+Pej+1+Pl+Prt+Pl	nimitigwaabi1mishnaanibani1ag

2+mtigwaap+NA+ThmPos+Pej+1+Pl+Prt+4	gimitigwaabi1mishnaanibaniin

2+mtigwaap+NA+ThmPos+Pej+1+Pl+Prt+Loc	gimitigwaabi1mishnaanibaniing

2+mtigwaap+NA+ThmPos+Pej+1+Pl+Prt+Pl	gimitigwaabi1mishnaanibani1ag

2+mtigwaap+NA+ThmPos+Pej+2+Pl+Prt+4	gimitigwaabi1mishwaabaniin

2+mtigwaap+NA+ThmPos+Pej+2+Pl+Prt+Loc	gimitigwaabi1mishwaabaniing

2+mtigwaap+NA+ThmPos+Pej+2+Pl+Prt+Pl	gimitigwaabi1mishwaabani1ag

3+mtigwaap+NA+ThmPos+Pej+2+Pl+Prt+4	omitigwaabi1mishwaabaniin

3+mtigwaap+NA+ThmPos+Pej+2+Pl+Prt+Loc	omitigwaabi1mishwaabaniing

