waaboos+NA	waaboozo
3+waaboos+NA+ThmPos+Pej+3+4+Prt	owaaboozomishniwiba
3+waaboos+NA+ThmPos+Pej+3+4+Prt	owaaboozomishniiban
3+waaboos+NA+ThmPos+Pej+3+4+Prt	owaaboozomishniiba

1+waaboos+NA+ThmPos+Pej+1+Pl+4	niwaaboozomishnaanin

1+waaboos+NA+ThmPos+Pej+1+Pl+Loc	niwaaboozomishnaaning

1+waaboos+NA+ThmPos+Pej+1+Pl+Pl	niwaaboozomishnaany1ag

2+waaboos+NA+ThmPos+Pej+1+Pl+4	giwaaboozomishnaanin

2+waaboos+NA+ThmPos+Pej+1+Pl+Loc	giwaaboozomishnaaning

2+waaboos+NA+ThmPos+Pej+1+Pl+Pl	giwaaboozomishnaany1ag

2+waaboos+NA+ThmPos+Pej+2+Pl+4	giwaaboozomishwaan

2+waaboos+NA+ThmPos+Pej+2+Pl+Loc	giwaaboozomishwaang

2+waaboos+NA+ThmPos+Pej+2+Pl+Pl	giwaaboozomishwaaag

3+waaboos+NA+ThmPos+Pej+2+Pl+4	owaaboozomishwaan

3+waaboos+NA+ThmPos+Pej+2+Pl+Loc	owaaboozomishwaang

3+waaboos+NA+ThmPos+Pej+3+4+4	owaaboozomishniwan

3+waaboos+NA+ThmPos+Pej+3+4+Loc	owaaboozomishniing

1+waaboos+NA+ThmPos+Pej+Prt+4	niwaaboozomishibaniin

1+waaboos+NA+ThmPos+Pej+Prt+Loc	niwaaboozomishibaniing

1+waaboos+NA+ThmPos+Pej+Prt+Pl	niwaaboozomishibani1ag

2+waaboos+NA+ThmPos+Pej+Prt+4	giwaaboozomishibaniin

2+waaboos+NA+ThmPos+Pej+Prt+Loc	giwaaboozomishibaniing

2+waaboos+NA+ThmPos+Pej+Prt+Pl	giwaaboozomishibani1ag

3+waaboos+NA+ThmPos+Pej+Prt+4	owaaboozomishibaniin

3+waaboos+NA+ThmPos+Pej+Prt+Loc	owaaboozomishibaniing

X+waaboos+NA+ThmPos+Pej+Prt+4	iwaaboozomishibaniin

X+waaboos+NA+ThmPos+Pej+Prt+Loc	iwaaboozomishibaniing

X+waaboos+NA+ThmPos+Pej+Prt+Pl	iwaaboozomishibani1ag

1+waaboos+NA+ThmPos+1+Pl+Prt+4	niwaaboozomnaanibaniin

1+waaboos+NA+ThmPos+1+Pl+Prt+Loc	niwaaboozomnaanibaniing

1+waaboos+NA+ThmPos+1+Pl+Prt+Pl	niwaaboozomnaanibani1ag

2+waaboos+NA+ThmPos+1+Pl+Prt+4	giwaaboozomnaanibaniin

2+waaboos+NA+ThmPos+1+Pl+Prt+Loc	giwaaboozomnaanibaniing

2+waaboos+NA+ThmPos+1+Pl+Prt+Pl	giwaaboozomnaanibani1ag

2+waaboos+NA+ThmPos+2+Pl+Prt+4	giwaaboozomwaabaniin

2+waaboos+NA+ThmPos+2+Pl+Prt+Loc	giwaaboozomwaabaniing

2+waaboos+NA+ThmPos+2+Pl+Prt+Pl	giwaaboozomwaabani1ag

3+waaboos+NA+ThmPos+2+Pl+Prt+4	owaaboozomwaabaniin

3+waaboos+NA+ThmPos+2+Pl+Prt+Loc	owaaboozomwaabaniing

3+waaboos+NA+ThmPos+3+4+Prt+4	owaaboozomniwibaniin
3+waaboos+NA+ThmPos+3+4+Prt+4	owaaboozomniibaniin

3+waaboos+NA+ThmPos+3+4+Prt+Loc	owaaboozomniwibaniing
3+waaboos+NA+ThmPos+3+4+Prt+Loc	owaaboozomniibaniing

1+waaboos+NA+Pej+1+Pl+Prt+4	niwaaboozoshnaanibaniin

1+waaboos+NA+Pej+1+Pl+Prt+Loc	niwaaboozoshnaanibaniing

1+waaboos+NA+Pej+1+Pl+Prt+Pl	niwaaboozoshnaanibani1ag

2+waaboos+NA+Pej+1+Pl+Prt+4	giwaaboozoshnaanibaniin

2+waaboos+NA+Pej+1+Pl+Prt+Loc	giwaaboozoshnaanibaniing

2+waaboos+NA+Pej+1+Pl+Prt+Pl	giwaaboozoshnaanibani1ag

2+waaboos+NA+Pej+2+Pl+Prt+4	giwaaboozoshwaabaniin

2+waaboos+NA+Pej+2+Pl+Prt+Loc	giwaaboozoshwaabaniing

2+waaboos+NA+Pej+2+Pl+Prt+Pl	giwaaboozoshwaabani1ag

3+waaboos+NA+Pej+2+Pl+Prt+4	owaaboozoshwaabaniin

3+waaboos+NA+Pej+2+Pl+Prt+Loc	owaaboozoshwaabaniing

3+waaboos+NA+Pej+3+4+Prt+4	owaaboozoshniwibaniin
3+waaboos+NA+Pej+3+4+Prt+4	owaaboozoshniibaniin

3+waaboos+NA+Pej+3+4+Prt+Loc	owaaboozoshniwibaniing
3+waaboos+NA+Pej+3+4+Prt+Loc	owaaboozoshniibaniing

1+waaboos+NA+Con+ThmPos+Pej+1+Pl+Prt	niwaaboozoenymishnaaniban
1+waaboos+NA+Con+ThmPos+Pej+1+Pl+Prt	niwaaboozoenymishnaaniba

1+waaboos+NA+Con+ThmPos+Pej+1+Pl+Voc+Pl	niwaaboozoenymishnaany1dig

1+waaboos+NA+Dim+ThmPos+Pej+1+Pl+Prt	niwaaboozoensmishnaaniban
1+waaboos+NA+Dim+ThmPos+Pej+1+Pl+Prt	niwaaboozoensmishnaaniba

1+waaboos+NA+Dim+ThmPos+Pej+1+Pl+Voc+Pl	niwaaboozoensmishnaany1dig

2+waaboos+NA+Con+ThmPos+Pej+1+Pl+Prt	giwaaboozoenymishnaaniban
2+waaboos+NA+Con+ThmPos+Pej+1+Pl+Prt	giwaaboozoenymishnaaniba

2+waaboos+NA+Con+ThmPos+Pej+1+Pl+Voc+Pl	giwaaboozoenymishnaany1dig

2+waaboos+NA+Con+ThmPos+Pej+2+Pl+Prt	giwaaboozoenymishwaaban
2+waaboos+NA+Con+ThmPos+Pej+2+Pl+Prt	giwaaboozoenymishwaaba

2+waaboos+NA+Con+ThmPos+Pej+2+Pl+Voc+Pl	giwaaboozoenymishwaadig

2+waaboos+NA+Dim+ThmPos+Pej+1+Pl+Prt	giwaaboozoensmishnaaniban
2+waaboos+NA+Dim+ThmPos+Pej+1+Pl+Prt	giwaaboozoensmishnaaniba

2+waaboos+NA+Dim+ThmPos+Pej+1+Pl+Voc+Pl	giwaaboozoensmishnaany1dig

2+waaboos+NA+Dim+ThmPos+Pej+2+Pl+Prt	giwaaboozoensmishwaaban
2+waaboos+NA+Dim+ThmPos+Pej+2+Pl+Prt	giwaaboozoensmishwaaba

2+waaboos+NA+Dim+ThmPos+Pej+2+Pl+Voc+Pl	giwaaboozoensmishwaadig

3+waaboos+NA+Con+ThmPos+Pej+3+4+Prt	owaaboozoenymishniwiban
3+waaboos+NA+Con+ThmPos+Pej+3+4+Prt	owaaboozoenymishniwiba
3+waaboos+NA+Con+ThmPos+Pej+3+4+Prt	owaaboozoenymishniiban
3+waaboos+NA+Con+ThmPos+Pej+3+4+Prt	owaaboozoenymishniiba

3+waaboos+NA+Dim+ThmPos+Pej+3+4+Prt	owaaboozoensmishniwiban
3+waaboos+NA+Dim+ThmPos+Pej+3+4+Prt	owaaboozoensmishniwiba
3+waaboos+NA+Dim+ThmPos+Pej+3+4+Prt	owaaboozoensmishniiban
3+waaboos+NA+Dim+ThmPos+Pej+3+4+Prt	owaaboozoensmishniiba

1+waaboos+NA+Con+ThmPos+Pej+1+Pl+4	niwaaboozoenymishnaanin

1+waaboos+NA+Con+ThmPos+Pej+1+Pl+Loc	niwaaboozoenymishnaaning

1+waaboos+NA+Con+ThmPos+Pej+1+Pl+Pl	niwaaboozoenymishnaany1ag

1+waaboos+NA+Dim+ThmPos+Pej+1+Pl+4	niwaaboozoensmishnaanin

1+waaboos+NA+Dim+ThmPos+Pej+1+Pl+Loc	niwaaboozoensmishnaaning

1+waaboos+NA+Dim+ThmPos+Pej+1+Pl+Pl	niwaaboozoensmishnaany1ag

2+waaboos+NA+Con+ThmPos+Pej+1+Pl+4	giwaaboozoenymishnaanin

2+waaboos+NA+Con+ThmPos+Pej+1+Pl+Loc	giwaaboozoenymishnaaning

2+waaboos+NA+Con+ThmPos+Pej+1+Pl+Pl	giwaaboozoenymishnaany1ag

2+waaboos+NA+Con+ThmPos+Pej+2+Pl+4	giwaaboozoenymishwaan

2+waaboos+NA+Con+ThmPos+Pej+2+Pl+Loc	giwaaboozoenymishwaang

2+waaboos+NA+Con+ThmPos+Pej+2+Pl+Pl	giwaaboozoenymishwaaag

2+waaboos+NA+Dim+ThmPos+Pej+1+Pl+4	giwaaboozoensmishnaanin

2+waaboos+NA+Dim+ThmPos+Pej+1+Pl+Loc	giwaaboozoensmishnaaning

2+waaboos+NA+Dim+ThmPos+Pej+1+Pl+Pl	giwaaboozoensmishnaany1ag

2+waaboos+NA+Dim+ThmPos+Pej+2+Pl+4	giwaaboozoensmishwaan

2+waaboos+NA+Dim+ThmPos+Pej+2+Pl+Loc	giwaaboozoensmishwaang

2+waaboos+NA+Dim+ThmPos+Pej+2+Pl+Pl	giwaaboozoensmishwaaag

3+waaboos+NA+Con+ThmPos+Pej+2+Pl+4	owaaboozoenymishwaan

3+waaboos+NA+Con+ThmPos+Pej+2+Pl+Loc	owaaboozoenymishwaang

3+waaboos+NA+Con+ThmPos+Pej+3+4+4	owaaboozoenymishniwan

3+waaboos+NA+Con+ThmPos+Pej+3+4+Loc	owaaboozoenymishniing

3+waaboos+NA+Dim+ThmPos+Pej+2+Pl+4	owaaboozoensmishwaan

3+waaboos+NA+Dim+ThmPos+Pej+2+Pl+Loc	owaaboozoensmishwaang

3+waaboos+NA+Dim+ThmPos+Pej+3+4+4	owaaboozoensmishniwan

3+waaboos+NA+Dim+ThmPos+Pej+3+4+Loc	owaaboozoensmishniing

1+waaboos+NA+Con+ThmPos+Pej+Prt+4	niwaaboozoenymishibaniin

1+waaboos+NA+Con+ThmPos+Pej+Prt+Loc	niwaaboozoenymishibaniing

1+waaboos+NA+Con+ThmPos+Pej+Prt+Pl	niwaaboozoenymishibani1ag

1+waaboos+NA+Dim+ThmPos+Pej+Prt+4	niwaaboozoensmishibaniin

1+waaboos+NA+Dim+ThmPos+Pej+Prt+Loc	niwaaboozoensmishibaniing

1+waaboos+NA+Dim+ThmPos+Pej+Prt+Pl	niwaaboozoensmishibani1ag

2+waaboos+NA+Con+ThmPos+Pej+Prt+4	giwaaboozoenymishibaniin

2+waaboos+NA+Con+ThmPos+Pej+Prt+Loc	giwaaboozoenymishibaniing

2+waaboos+NA+Con+ThmPos+Pej+Prt+Pl	giwaaboozoenymishibani1ag

2+waaboos+NA+Dim+ThmPos+Pej+Prt+4	giwaaboozoensmishibaniin

2+waaboos+NA+Dim+ThmPos+Pej+Prt+Loc	giwaaboozoensmishibaniing

2+waaboos+NA+Dim+ThmPos+Pej+Prt+Pl	giwaaboozoensmishibani1ag

3+waaboos+NA+Con+ThmPos+Pej+Prt+4	owaaboozoenymishibaniin

3+waaboos+NA+Con+ThmPos+Pej+Prt+Loc	owaaboozoenymishibaniing

3+waaboos+NA+Dim+ThmPos+Pej+Prt+4	owaaboozoensmishibaniin

3+waaboos+NA+Dim+ThmPos+Pej+Prt+Loc	owaaboozoensmishibaniing

X+waaboos+NA+Con+ThmPos+Pej+Prt+4	iwaaboozoenymishibaniin

X+waaboos+NA+Con+ThmPos+Pej+Prt+Loc	iwaaboozoenymishibaniing

X+waaboos+NA+Con+ThmPos+Pej+Prt+Pl	iwaaboozoenymishibani1ag

X+waaboos+NA+Dim+ThmPos+Pej+Prt+4	iwaaboozoensmishibaniin

X+waaboos+NA+Dim+ThmPos+Pej+Prt+Loc	iwaaboozoensmishibaniing

X+waaboos+NA+Dim+ThmPos+Pej+Prt+Pl	iwaaboozoensmishibani1ag

1+waaboos+NA+Con+ThmPos+1+Pl+Prt+4	niwaaboozoenymnaanibaniin

1+waaboos+NA+Con+ThmPos+1+Pl+Prt+Loc	niwaaboozoenymnaanibaniing

1+waaboos+NA+Con+ThmPos+1+Pl+Prt+Pl	niwaaboozoenymnaanibani1ag

1+waaboos+NA+Dim+ThmPos+1+Pl+Prt+4	niwaaboozoensmnaanibaniin

1+waaboos+NA+Dim+ThmPos+1+Pl+Prt+Loc	niwaaboozoensmnaanibaniing

1+waaboos+NA+Dim+ThmPos+1+Pl+Prt+Pl	niwaaboozoensmnaanibani1ag

2+waaboos+NA+Con+ThmPos+1+Pl+Prt+4	giwaaboozoenymnaanibaniin

2+waaboos+NA+Con+ThmPos+1+Pl+Prt+Loc	giwaaboozoenymnaanibaniing

2+waaboos+NA+Con+ThmPos+1+Pl+Prt+Pl	giwaaboozoenymnaanibani1ag

2+waaboos+NA+Con+ThmPos+2+Pl+Prt+4	giwaaboozoenymwaabaniin

2+waaboos+NA+Con+ThmPos+2+Pl+Prt+Loc	giwaaboozoenymwaabaniing

2+waaboos+NA+Con+ThmPos+2+Pl+Prt+Pl	giwaaboozoenymwaabani1ag

2+waaboos+NA+Dim+ThmPos+1+Pl+Prt+4	giwaaboozoensmnaanibaniin

2+waaboos+NA+Dim+ThmPos+1+Pl+Prt+Loc	giwaaboozoensmnaanibaniing

2+waaboos+NA+Dim+ThmPos+1+Pl+Prt+Pl	giwaaboozoensmnaanibani1ag

2+waaboos+NA+Dim+ThmPos+2+Pl+Prt+4	giwaaboozoensmwaabaniin

2+waaboos+NA+Dim+ThmPos+2+Pl+Prt+Loc	giwaaboozoensmwaabaniing

2+waaboos+NA+Dim+ThmPos+2+Pl+Prt+Pl	giwaaboozoensmwaabani1ag

3+waaboos+NA+Con+ThmPos+2+Pl+Prt+4	owaaboozoenymwaabaniin

3+waaboos+NA+Con+ThmPos+2+Pl+Prt+Loc	owaaboozoenymwaabaniing

3+waaboos+NA+Con+ThmPos+3+4+Prt+4	owaaboozoenymniwibaniin
3+waaboos+NA+Con+ThmPos+3+4+Prt+4	owaaboozoenymniibaniin

3+waaboos+NA+Con+ThmPos+3+4+Prt+Loc	owaaboozoenymniwibaniing
3+waaboos+NA+Con+ThmPos+3+4+Prt+Loc	owaaboozoenymniibaniing

3+waaboos+NA+Dim+ThmPos+2+Pl+Prt+4	owaaboozoensmwaabaniin

3+waaboos+NA+Dim+ThmPos+2+Pl+Prt+Loc	owaaboozoensmwaabaniing

3+waaboos+NA+Dim+ThmPos+3+4+Prt+4	owaaboozoensmniwibaniin
3+waaboos+NA+Dim+ThmPos+3+4+Prt+4	owaaboozoensmniibaniin

3+waaboos+NA+Dim+ThmPos+3+4+Prt+Loc	owaaboozoensmniwibaniing
3+waaboos+NA+Dim+ThmPos+3+4+Prt+Loc	owaaboozoensmniibaniing

1+waaboos+NA+Con+Pej+1+Pl+Prt+4	niwaaboozoenyishnaanibaniin

1+waaboos+NA+Con+Pej+1+Pl+Prt+Loc	niwaaboozoenyishnaanibaniing

1+waaboos+NA+Con+Pej+1+Pl+Prt+Pl	niwaaboozoenyishnaanibani1ag

1+waaboos+NA+Dim+Pej+1+Pl+Prt+4	niwaaboozoensishnaanibaniin

1+waaboos+NA+Dim+Pej+1+Pl+Prt+Loc	niwaaboozoensishnaanibaniing

1+waaboos+NA+Dim+Pej+1+Pl+Prt+Pl	niwaaboozoensishnaanibani1ag

2+waaboos+NA+Con+Pej+1+Pl+Prt+4	giwaaboozoenyishnaanibaniin

2+waaboos+NA+Con+Pej+1+Pl+Prt+Loc	giwaaboozoenyishnaanibaniing

2+waaboos+NA+Con+Pej+1+Pl+Prt+Pl	giwaaboozoenyishnaanibani1ag

2+waaboos+NA+Con+Pej+2+Pl+Prt+4	giwaaboozoenyishwaabaniin

2+waaboos+NA+Con+Pej+2+Pl+Prt+Loc	giwaaboozoenyishwaabaniing

2+waaboos+NA+Con+Pej+2+Pl+Prt+Pl	giwaaboozoenyishwaabani1ag

2+waaboos+NA+Dim+Pej+1+Pl+Prt+4	giwaaboozoensishnaanibaniin

2+waaboos+NA+Dim+Pej+1+Pl+Prt+Loc	giwaaboozoensishnaanibaniing

2+waaboos+NA+Dim+Pej+1+Pl+Prt+Pl	giwaaboozoensishnaanibani1ag

2+waaboos+NA+Dim+Pej+2+Pl+Prt+4	giwaaboozoensishwaabaniin

2+waaboos+NA+Dim+Pej+2+Pl+Prt+Loc	giwaaboozoensishwaabaniing

2+waaboos+NA+Dim+Pej+2+Pl+Prt+Pl	giwaaboozoensishwaabani1ag

3+waaboos+NA+Con+Pej+2+Pl+Prt+4	owaaboozoenyishwaabaniin

3+waaboos+NA+Con+Pej+2+Pl+Prt+Loc	owaaboozoenyishwaabaniing

3+waaboos+NA+Con+Pej+3+4+Prt+4	owaaboozoenyishniwibaniin
3+waaboos+NA+Con+Pej+3+4+Prt+4	owaaboozoenyishniibaniin

3+waaboos+NA+Con+Pej+3+4+Prt+Loc	owaaboozoenyishniwibaniing
3+waaboos+NA+Con+Pej+3+4+Prt+Loc	owaaboozoenyishniibaniing

3+waaboos+NA+Dim+Pej+2+Pl+Prt+4	owaaboozoensishwaabaniin

3+waaboos+NA+Dim+Pej+2+Pl+Prt+Loc	owaaboozoensishwaabaniing

3+waaboos+NA+Dim+Pej+3+4+Prt+4	owaaboozoensishniwibaniin
3+waaboos+NA+Dim+Pej+3+4+Prt+4	owaaboozoensishniibaniin

3+waaboos+NA+Dim+Pej+3+4+Prt+Loc	owaaboozoensishniwibaniing
3+waaboos+NA+Dim+Pej+3+4+Prt+Loc	owaaboozoensishniibaniing

1+waaboos+NA+ThmPos+Pej+1+Pl+Prt+4	niwaaboozomishnaanibaniin

1+waaboos+NA+ThmPos+Pej+1+Pl+Prt+Loc	niwaaboozomishnaanibaniing

1+waaboos+NA+ThmPos+Pej+1+Pl+Prt+Pl	niwaaboozomishnaanibani1ag

2+waaboos+NA+ThmPos+Pej+1+Pl+Prt+4	giwaaboozomishnaanibaniin

2+waaboos+NA+ThmPos+Pej+1+Pl+Prt+Loc	giwaaboozomishnaanibaniing

2+waaboos+NA+ThmPos+Pej+1+Pl+Prt+Pl	giwaaboozomishnaanibani1ag

2+waaboos+NA+ThmPos+Pej+2+Pl+Prt+4	giwaaboozomishwaabaniin

2+waaboos+NA+ThmPos+Pej+2+Pl+Prt+Loc	giwaaboozomishwaabaniing

2+waaboos+NA+ThmPos+Pej+2+Pl+Prt+Pl	giwaaboozomishwaabani1ag

3+waaboos+NA+ThmPos+Pej+2+Pl+Prt+4	owaaboozomishwaabaniin

3+waaboos+NA+ThmPos+Pej+2+Pl+Prt+Loc	owaaboozomishwaabaniing

3+waaboos+NA+ThmPos+Pej+3+4+Prt+4	owaaboozomishniwibaniin
3+waaboos+NA+ThmPos+Pej+3+4+Prt+4	owaaboozomishniibaniin

3+waaboos+NA+ThmPos+Pej+3+4+Prt+Loc	owaaboozomishniwibaniing
3+waaboos+NA+ThmPos+Pej+3+4+Prt+Loc	owaaboozomishniibaniing

1+waaboos+NA+Con+ThmPos+Pej+1+Pl+Prt+4	niwaaboozoenymishnaanibaniin

1+waaboos+NA+Con+ThmPos+Pej+1+Pl+Prt+Loc	niwaaboozoenymishnaanibaniing

1+waaboos+NA+Con+ThmPos+Pej+1+Pl+Prt+Pl	niwaaboozoenymishnaanibani1ag

1+waaboos+NA+Dim+ThmPos+Pej+1+Pl+Prt+4	niwaaboozoensmishnaanibaniin

1+waaboos+NA+Dim+ThmPos+Pej+1+Pl+Prt+Loc	niwaaboozoensmishnaanibaniing

1+waaboos+NA+Dim+ThmPos+Pej+1+Pl+Prt+Pl	niwaaboozoensmishnaanibani1ag

2+waaboos+NA+Con+ThmPos+Pej+1+Pl+Prt+4	giwaaboozoenymishnaanibaniin

2+waaboos+NA+Con+ThmPos+Pej+1+Pl+Prt+Loc	giwaaboozoenymishnaanibaniing

2+waaboos+NA+Con+ThmPos+Pej+1+Pl+Prt+Pl	giwaaboozoenymishnaanibani1ag

2+waaboos+NA+Con+ThmPos+Pej+2+Pl+Prt+4	giwaaboozoenymishwaabaniin

2+waaboos+NA+Con+ThmPos+Pej+2+Pl+Prt+Loc	giwaaboozoenymishwaabaniing

2+waaboos+NA+Con+ThmPos+Pej+2+Pl+Prt+Pl	giwaaboozoenymishwaabani1ag

2+waaboos+NA+Dim+ThmPos+Pej+1+Pl+Prt+4	giwaaboozoensmishnaanibaniin

2+waaboos+NA+Dim+ThmPos+Pej+1+Pl+Prt+Loc	giwaaboozoensmishnaanibaniing

2+waaboos+NA+Dim+ThmPos+Pej+1+Pl+Prt+Pl	giwaaboozoensmishnaanibani1ag

2+waaboos+NA+Dim+ThmPos+Pej+2+Pl+Prt+4	giwaaboozoensmishwaabaniin

2+waaboos+NA+Dim+ThmPos+Pej+2+Pl+Prt+Loc	giwaaboozoensmishwaabaniing

2+waaboos+NA+Dim+ThmPos+Pej+2+Pl+Prt+Pl	giwaaboozoensmishwaabani1ag

3+waaboos+NA+Con+ThmPos+Pej+2+Pl+Prt+4	owaaboozoenymishwaabaniin

3+waaboos+NA+Con+ThmPos+Pej+2+Pl+Prt+Loc	owaaboozoenymishwaabaniing

3+waaboos+NA+Con+ThmPos+Pej+3+4+Prt+4	owaaboozoenymishniwibaniin
3+waaboos+NA+Con+ThmPos+Pej+3+4+Prt+4	owaaboozoenymishniibaniin

3+waaboos+NA+Con+ThmPos+Pej+3+4+Prt+Loc	owaaboozoenymishniwibaniing
3+waaboos+NA+Con+ThmPos+Pej+3+4+Prt+Loc	owaaboozoenymishniibaniing

3+waaboos+NA+Dim+ThmPos+Pej+2+Pl+Prt+4	owaaboozoensmishwaabaniin

3+waaboos+NA+Dim+ThmPos+Pej+2+Pl+Prt+Loc	owaaboozoensmishwaabaniing

3+waaboos+NA+Dim+ThmPos+Pej+3+4+Prt+4	owaaboozoensmishniwibaniin
3+waaboos+NA+Dim+ThmPos+Pej+3+4+Prt+4	owaaboozoensmishniibaniin

3+waaboos+NA+Dim+ThmPos+Pej+3+4+Prt+Loc	owaaboozoensmishniwibaniing
3+waaboos+NA+Dim+ThmPos+Pej+3+4+Prt+Loc	owaaboozoensmishniibaniing

