mkomii+NI	makomii
3+mkomii+NI+Con+ThmPos+Pej	omakomiienymish

3+mkomii+NI+Dim+ThmPos+Pej	omakomiiensmish

X+mkomii+NI+Con+ThmPos+Pej	imakomiienymish

X+mkomii+NI+Dim+ThmPos+Pej	imakomiiensmish

1+mkomii+NI+Con+ThmPos+1+Pl	nimakomiienymnaan
1+mkomii+NI+Con+ThmPos+1+Pl	nimakomiienymnaa

1+mkomii+NI+Dim+ThmPos+1+Pl	nimakomiiensmnaan
1+mkomii+NI+Dim+ThmPos+1+Pl	nimakomiiensmnaa

2+mkomii+NI+Con+ThmPos+1+Pl	gimakomiienymnaan
2+mkomii+NI+Con+ThmPos+1+Pl	gimakomiienymnaa

2+mkomii+NI+Con+ThmPos+2+Pl	gimakomiienymwaa

2+mkomii+NI+Dim+ThmPos+1+Pl	gimakomiiensmnaan
2+mkomii+NI+Dim+ThmPos+1+Pl	gimakomiiensmnaa

2+mkomii+NI+Dim+ThmPos+2+Pl	gimakomiiensmwaa

3+mkomii+NI+Con+ThmPos+2+Pl	omakomiienymwaa

3+mkomii+NI+Con+ThmPos+3+4	omakomiienymniw

3+mkomii+NI+Dim+ThmPos+2+Pl	omakomiiensmwaa

3+mkomii+NI+Dim+ThmPos+3+4	omakomiiensmniw

1+mkomii+NI+Con+ThmPos+Prt	nimakomiienymiban
1+mkomii+NI+Con+ThmPos+Prt	nimakomiienymiba

1+mkomii+NI+Con+ThmPos+Voc+Pl	nimakomiienymdig

1+mkomii+NI+Dim+ThmPos+Prt	nimakomiiensmiban
1+mkomii+NI+Dim+ThmPos+Prt	nimakomiiensmiba

1+mkomii+NI+Dim+ThmPos+Voc+Pl	nimakomiiensmdig

2+mkomii+NI+Con+ThmPos+Prt	gimakomiienymiban
2+mkomii+NI+Con+ThmPos+Prt	gimakomiienymiba

2+mkomii+NI+Con+ThmPos+Voc+Pl	gimakomiienymdig

2+mkomii+NI+Dim+ThmPos+Prt	gimakomiiensmiban
2+mkomii+NI+Dim+ThmPos+Prt	gimakomiiensmiba

2+mkomii+NI+Dim+ThmPos+Voc+Pl	gimakomiiensmdig

3+mkomii+NI+Con+ThmPos+Prt	omakomiienymiban
3+mkomii+NI+Con+ThmPos+Prt	omakomiienymiba

3+mkomii+NI+Con+ThmPos+Voc+Pl	omakomiienymdig

3+mkomii+NI+Dim+ThmPos+Prt	omakomiiensmiban
3+mkomii+NI+Dim+ThmPos+Prt	omakomiiensmiba

3+mkomii+NI+Dim+ThmPos+Voc+Pl	omakomiiensmdig

X+mkomii+NI+Con+ThmPos+Prt	imakomiienymiban
X+mkomii+NI+Con+ThmPos+Prt	imakomiienymiba

X+mkomii+NI+Con+ThmPos+Voc+Pl	imakomiienymdig

X+mkomii+NI+Dim+ThmPos+Prt	imakomiiensmiban
X+mkomii+NI+Dim+ThmPos+Prt	imakomiiensmiba

X+mkomii+NI+Dim+ThmPos+Voc+Pl	imakomiiensmdig

1+mkomii+NI+Con+ThmPos+4	nimakomiienyman

1+mkomii+NI+Con+ThmPos+Loc	nimakomiienyming

1+mkomii+NI+Con+ThmPos+Pl	nimakomiienyman

1+mkomii+NI+Dim+ThmPos+4	nimakomiiensman

1+mkomii+NI+Dim+ThmPos+Loc	nimakomiiensming

1+mkomii+NI+Dim+ThmPos+Pl	nimakomiiensman

2+mkomii+NI+Con+ThmPos+4	gimakomiienyman

2+mkomii+NI+Con+ThmPos+Loc	gimakomiienyming

2+mkomii+NI+Con+ThmPos+Pl	gimakomiienyman

2+mkomii+NI+Dim+ThmPos+4	gimakomiiensman

2+mkomii+NI+Dim+ThmPos+Loc	gimakomiiensming

2+mkomii+NI+Dim+ThmPos+Pl	gimakomiiensman

3+mkomii+NI+Con+ThmPos+4	omakomiienyman

3+mkomii+NI+Con+ThmPos+Loc	omakomiienyming

3+mkomii+NI+Con+ThmPos+Pl	omakomiienyman

