mkizin+NI	makizin
3+mkizin+NI+2+Pl+Prt	omakizinwaaba

3+mkizin+NI+2+Pl+Voc+Pl	omakizinwaadig

3+mkizin+NI+3+4+Prt	omakizinniwiban
3+mkizin+NI+3+4+Prt	omakizinniwiba
3+mkizin+NI+3+4+Prt	omakizinniiban
3+mkizin+NI+3+4+Prt	omakizinniiba

3+mkizin+NI+3+4+Voc+Pl	omakizinniwdig

1+mkizin+NI+1+Pl+4	nimakizinnaanin

1+mkizin+NI+1+Pl+Loc	nimakizinnaaning

1+mkizin+NI+1+Pl+Pl	nimakizinnaany1an

2+mkizin+NI+1+Pl+4	gimakizinnaanin

2+mkizin+NI+1+Pl+Loc	gimakizinnaaning

2+mkizin+NI+1+Pl+Pl	gimakizinnaany1an

2+mkizin+NI+2+Pl+4	gimakizinwaan

2+mkizin+NI+2+Pl+Loc	gimakizinwaang

2+mkizin+NI+2+Pl+Pl	gimakizinwaaan

3+mkizin+NI+2+Pl+4	omakizinwaan

3+mkizin+NI+2+Pl+Loc	omakizinwaang

3+mkizin+NI+2+Pl+Pl	omakizinwaaan

3+mkizin+NI+3+4+4	omakizinniwan

3+mkizin+NI+3+4+Loc	omakizinniing

3+mkizin+NI+3+4+Pl	omakizinniwan

1+mkizin+NI+Prt+4	nimakizinbaniin

1+mkizin+NI+Prt+Loc	nimakizinbaniing

1+mkizin+NI+Prt+Pl	nimakizinbani1an

2+mkizin+NI+Prt+4	gimakizinbaniin

2+mkizin+NI+Prt+Loc	gimakizinbaniing

2+mkizin+NI+Prt+Pl	gimakizinbani1an

3+mkizin+NI+Prt+4	omakizinbaniin

3+mkizin+NI+Prt+Loc	omakizinbaniing

3+mkizin+NI+Prt+Pl	omakizinbani1an

X+mkizin+NI+Prt+4	imakizinbaniin

X+mkizin+NI+Prt+Loc	imakizinbaniing

X+mkizin+NI+Prt+Pl	imakizinbani1an

mkizin+NI+Con+Pej+Prt	makizinenyishiban
mkizin+NI+Con+Pej+Prt	makizinenyishiba

mkizin+NI+Con+Pej+Voc+Pl	makizinenyishdig

mkizin+NI+Dim+Pej+Prt	makizinensishiban
mkizin+NI+Dim+Pej+Prt	makizinensishiba

mkizin+NI+Dim+Pej+Voc+Pl	makizinensishdig

mkizin+NI+Con+Pej+4	makizinenyishan

mkizin+NI+Con+Pej+Loc	makizinenyishing

mkizin+NI+Con+Pej+Pl	makizinenyishan

mkizin+NI+Dim+Pej+4	makizinensishan

mkizin+NI+Dim+Pej+Loc	makizinensishing

mkizin+NI+Dim+Pej+Pl	makizinensishan

mkizin+NI+Con+Prt+4	makizinenyibaniin

mkizin+NI+Con+Prt+Loc	makizinenyibaniing

mkizin+NI+Con+Prt+Pl	makizinenyibani1an

mkizin+NI+Dim+Prt+4	makizinensibaniin

mkizin+NI+Dim+Prt+Loc	makizinensibaniing

mkizin+NI+Dim+Prt+Pl	makizinensibani1an

mkizin+NI+Pej+Prt+4	makizinshibaniin

mkizin+NI+Pej+Prt+Loc	makizinshibaniing

mkizin+NI+Pej+Prt+Pl	makizinshibani1an

1+mkizin+NI+Con+ThmPos+Pej	nimakizinenymish

1+mkizin+NI+Dim+ThmPos+Pej	nimakizinensmish

2+mkizin+NI+Con+ThmPos+Pej	gimakizinenymish

2+mkizin+NI+Dim+ThmPos+Pej	gimakizinensmish

3+mkizin+NI+Con+ThmPos+Pej	omakizinenymish

3+mkizin+NI+Dim+ThmPos+Pej	omakizinensmish

X+mkizin+NI+Con+ThmPos+Pej	imakizinenymish

X+mkizin+NI+Dim+ThmPos+Pej	imakizinensmish

1+mkizin+NI+Con+ThmPos+1+Pl	nimakizinenymnaan
