Paradigm,Order,Class,Lemma,Stem,Subject,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,
VII,Ind,n,bangisin,bangisin,0PlProx,Dub,Pos,bangisinodogen,<<bangisin>>odogen,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0PlProx,Dub+Prt,Neg,bangisinzinoogobaniin,<<bangisin>>zinoogobaniin,JDN-PC,bangisinzinoogobanen,<<bangisin>>zinoogobanen,JDN-PC
VII,Ind,n,bangisin,bangisin,0PlProx,Dub+Prt,Pos,bangisinogobaniin,<<bangisin>>ogobaniin,JDN-PC,bangisinogobanen,<<bangisin>>ogobanen,JDN-PC
VII,Ind,n,bangisin,bangisin,0PlProx,Neu,Neg,bangisinzinoon,<<bangisin>>zinoon,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0PlProx,Neu,Pos,bangisinoon,<<bangisin>>oon,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0PlProx,Prt,Neg,bangisinzinoobaniin ,<<bangisin>>zinoobaniin ,JDN-PC,bangisinzinoobanen,<<bangisin>>zinoobanen,JDN-PC
VII,Ind,n,bangisin,bangisin,0PlProx,Prt,Pos,bangisinoobaniin,<<bangisin>>oobaniin,JDN-PC,bangisinoobanen,<<bangisin>>oobanen,JDN-PC
VII,Ind,n,bangisin,bangisin,0SgObv,Dub,Neg,bangisinzininiwidog,<<bangisin>>zininiwidog,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0SgObv,Dub,Pos,bangisininiwidog,<<bangisin>>iniwidog,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0SgObv,Dub+Prt,Neg,bangisinzininigoban,<<bangisin>>zininigoban,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0SgObv,Dub+Prt,Pos,bangisininigoban,<<bangisin>>inigoban,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0SgObv,Neu,Neg,bangisinzinini,<<bangisin>>zinini,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0SgObv,Neu,Pos,bangisinini,<<bangisin>>ini,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0SgObv,Prt,Neg,bangisinzininiiban,<<bangisin>>zininiiban,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0SgObv,Prt,Pos,bangisininiiban,<<bangisin>>iniiban,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0SgProx,Dub,Neg,bangisinzinodog,<<bangisin>>zinodog,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0SgProx,Dub,Pos,bangisinodog,<<bangisin>>odog,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0SgProx,Dub+Prt,Neg,bangisinzinoogoban,<<bangisin>>zinoogoban,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0SgProx,Dub+Prt,Pos,bangisinogoban,<<bangisin>>ogoban,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0SgProx,Neu,Neg,bangisinzinoon,<<bangisin>>zinoon,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0SgProx,Neu,Pos,bangisin,<<bangisin>>,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0SgProx,Prt,Neg,bangisinzinooban,<<bangisin>>zinooban,JDN-PC,,,
VII,Ind,n,bangisin,bangisin,0SgProx,Prt,Pos,bangisinooban,<<bangisin>>ooban,JDN-PC,,,
VII,Ind,o,imo,imo,0PlObv,Dub,Neg,MISSING,,,,,
VII,Ind,o,imo,imo,0PlObv,Dub,Pos,MISSING,,,,,
VII,Ind,o,imo,imo,0PlObv,Dub+Prt,Neg,MISSING,,,,,
VII,Ind,o,imo,imo,0PlObv,Dub+Prt,Pos,MISSING,,,,,
VII,Ind,o,imo,imo,0PlObv,Neu,Neg,imosininiwan,<<imo>>sininiwan,JDN-PC,,,
VII,Ind,o,imo,imo,0PlObv,Neu,Pos,imoniniwan,<<imo>>niniwan,JDN-PC,,,
VII,Ind,o,imo,imo,0PlObv,Prt,Neg,MISSING,,,,,
VII,Ind,o,imo,imo,0PlObv,Prt,Pos,MISSING,,,,,
VII,Ind,o,imo,imo,0PlProx,Dub,Neg,MISSING,,,,,
VII,Ind,o,imo,imo,0PlProx,Dub,Pos,MISSING,,,,,
VII,Ind,o,imo,imo,0PlProx,Dub+Prt,Neg,MISSING,,,,,
VII,Ind,o,imo,imo,0PlProx,Dub+Prt,Pos,MISSING,,,,,
VII,Ind,o,imo,imo,0PlProx,Neu,Neg,imosinoon,<<imo>>sinoon,JDN-PC,,,
VII,Ind,o,imo,imo,0PlProx,Neu,Pos,imonoon,<<imo>>noon,JDN-PC,,,
VII,Ind,o,imo,imo,0PlProx,Prt,Neg,MISSING,,,,,
VII,Ind,o,imo,imo,0PlProx,Prt,Pos,MISSING,,,,,
VII,Ind,o,imo,imo,0SgObv,Dub,Neg,MISSING,,,,,
VII,Ind,o,imo,imo,0SgObv,Dub,Pos,MISSING,,,,,
VII,Ind,o,imo,imo,0SgObv,Dub+Prt,Neg,MISSING,,,,,
VII,Ind,o,imo,imo,0SgObv,Dub+Prt,Pos,MISSING,,,,,
VII,Ind,o,imo,imo,0SgObv,Neu,Neg,imosinini,<<imo>>sinini,JDN-PC,,,
VII,Ind,o,imo,imo,0SgObv,Neu,Pos,imonini,<<imo>>nini,JDN-PC,,,
VII,Ind,o,imo,imo,0SgObv,Prt,Neg,MISSING,,,,,
VII,Ind,o,imo,imo,0SgObv,Prt,Pos,MISSING,,,,,
VII,Ind,o,imo,imo,0SgProx,Dub,Neg,MISSING,,,,,
VII,Ind,o,imo,imo,0SgProx,Dub,Pos,MISSING,,,,,
VII,Ind,o,imo,imo,0SgProx,Dub+Prt,Neg,MISSING,,,,,
VII,Ind,o,imo,imo,0SgProx,Dub+Prt,Pos,MISSING,,,,,
VII,Ind,o,imo,imo,0SgProx,Neu,Neg,imosinoon,<<imo>>sinoon,JDN-PC,,,
VII,Ind,o,imo,imo,0SgProx,Neu,Pos,imon,<<imo>>n,JDN-PC,,,
VII,Ind,o,imo,imo,0SgProx,Prt,Neg,MISSING,,,,,
VII,Ind,o,imo,imo,0SgProx,Prt,Pos,MISSING,,,,,
