Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1,Form2
VTA,Ind,Regular,waabam,waabam,Excl,2Pl,Neu,Neg,gi<<waabam>>igoosiim,
VTA,Ind,Regular,waabam,waabam,Excl,2Pl,Neu,Pos,gi<<waabam>>igoom,
VTA,Ind,Regular,waabam,waabam,Excl,2Sg,Neu,Neg,gi<<waabam>>igoosiin,
VTA,Ind,Regular,waabam,waabam,Excl,2Sg,Neu,Pos,gi<<waabam>>igoo,
VTA,Ind,Regular,waabam,waabam,Excl,3PlProx,Neu,Neg,ni<<waabam>>aasiwaanaanig,
VTA,Ind,Regular,waabam,waabam,Excl,3PlProx,Neu,Pos,ni<<waabam>>aanaanig,
VTA,Ind,Regular,waabam,waabam,Excl,3SgObv/3PlObv,Neu,Neg,ni<<waabam>>imaasiwaanaan,
VTA,Ind,Regular,waabam,waabam,Excl,3SgObv/3PlObv,Neu,Pos,ni<<waabam>>imaanaan,
VTA,Ind,Regular,waabam,waabam,Excl,3SgProx,Neu,Neg,ni<<waabam>>aasiwaanaan,
VTA,Ind,Regular,waabam,waabam,Excl,3SgProx,Neu,Pos,ni<<waabam>>aanaan,
VTA,Ind,Regular,waabam,waabam,Incl,3PlProx,Neu,Neg,gi<<waabam>>aasiwaanaanig,
VTA,Ind,Regular,waabam,waabam,Incl,3PlProx,Neu,Pos,gi<<waabam>>aanaanig,
VTA,Ind,Regular,waabam,waabam,Incl,3SgObv/3PlObv,Neu,Neg,gi<<waabam>>imaasiwaanaan,
VTA,Ind,Regular,waabam,waabam,Incl,3SgObv/3PlObv,Neu,Pos,gi<<waabam>>imaanaan,
VTA,Ind,Regular,waabam,waabam,Incl,3SgProx,Neu,Neg,gi<<waabam>>aasiwaanaan,
VTA,Ind,Regular,waabam,waabam,Incl,3SgProx,Neu,Pos,gi<<waabam>>aanaan,
VTA,Ind,Regular,waabam,waabam,X,1Sg,Neu,Neg,ni<<waabam>>igoosiin,
VTA,Ind,Regular,waabam,waabam,X,1Sg,Neu,Pos,ni<<waabam>>igoo,
VTA,Ind,Regular,waabam,waabam,X,2Pl,Neu,Neg,gi<<waabam>>igoosiim,
VTA,Ind,Regular,waabam,waabam,X,2Pl,Neu,Pos,gi<<waabam>>igoom,
VTA,Ind,Regular,waabam,waabam,X,2Sg,Neu,Neg,gi<<waabam>>igoosiin,
VTA,Ind,Regular,waabam,waabam,X,2Sg,Neu,Pos,gi<<waabam>>igoo,
VTA,Ind,Regular,waabam,waabam,X,3PlProx,Neu,Neg,<<waabam>>aasiiwag,
VTA,Ind,Regular,waabam,waabam,X,3PlProx,Neu,Pos,<<waabam>>aawag,
VTA,Ind,Regular,waabam,waabam,X,3SgObv/3PlObv,Neu,Neg,<<waabam>>imaasiiwan,
VTA,Ind,Regular,waabam,waabam,X,3SgObv/3PlObv,Neu,Pos,<<waabam>>imaawan,
VTA,Ind,Regular,waabam,waabam,X,3SgProx,Neu,Neg,<<waabam>>aasiin,
VTA,Ind,Regular,waabam,waabam,X,3SgProx,Neu,Pos,<<waabam>>aa,
VTA,Ind,Regular,waabam,waabam,X,Excl,Neu,Neg,ni<<waabam>>igoosiimin,
VTA,Ind,Regular,waabam,waabam,X,Excl,Neu,Pos,ni<<waabam>>igoomin,
VTA,Ind,Regular,waabam,waabam,X,Incl,Neu,Neg,gi<<waabam>>igoosiimin,
VTA,Ind,Regular,waabam,waabam,X,Incl,Neu,Pos,gi<<waabam>>igoomin,
VTA,Ind,Regular,waabam,waabam,0Pl,1Sg,Prt,Neg,ni<<waabam>>igosiinaabanen,
VTA,Ind,Regular,waabam,waabam,0Pl,1Sg,Prt,Pos,ni<<waabam>>igonaabanen,
VTA,Ind,Regular,waabam,waabam,0Pl,2Pl,Prt,Neg,gi<<waabam>>igosiinaawaabanen,
VTA,Ind,Regular,waabam,waabam,0Pl,2Pl,Prt,Pos,gi<<waabam>>igonaawaabanen,
