Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1,Form2
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,2Pl,Neu,Pos,<<waabam>>igoyeg,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,2Sg,Neu,Neg,<<waabam>>igosiwan,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,2Sg,Neu,Pos,<<waabam>>igoyan,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3PlProx,Neu,Neg,<<waabam>>igosigwaa,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3PlProx,Neu,Pos,<<waabam>>igowaad,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3SgObv/3PlObv,Neu,Neg,<<waabam>>igosinig,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3SgObv/3PlObv,Neu,Pos,<<waabam>>igonid,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3SgProx,Neu,Neg,<<waabam>>igosig,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3SgProx,Neu,Pos,<<waabam>>igod,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,Excl,Neu,Neg,<<waabam>>igosiwaang,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,Excl,Neu,Pos,<<waabam>>igoyaang,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,Incl,Neu,Neg,<<waabam>>igosiwang,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,Incl,Neu,Pos,<<waabam>>igoyang,
VTA,Cnj,Regular,waabam,waabam,1Sg,2Pl,Neu,Neg,<<waabam>>isinowagog,
VTA,Cnj,Regular,waabam,waabam,1Sg,2Pl,Neu,Pos,<<waabam>>inagog,
VTA,Cnj,Regular,waabam,waabam,1Sg,2Sg,Neu,Neg,<<waabam>>isinowaan,
VTA,Cnj,Regular,waabam,waabam,1Sg,2Sg,Neu,Pos,<<waabam>>inaan,
VTA,Cnj,Regular,waabam,waabam,1Sg,3PlProx,Neu,Neg,<<waabam>>aasiwagwaa,
VTA,Cnj,Regular,waabam,waabam,1Sg,3PlProx,Neu,Pos,<<waabam>>agwaa,
VTA,Cnj,Regular,waabam,waabam,1Sg,3SgObv/3PlObv,Neu,Neg,<<waabam>>imaasiwag,
VTA,Cnj,Regular,waabam,waabam,1Sg,3SgObv/3PlObv,Neu,Pos,<<waabam>>imag,
VTA,Cnj,Regular,waabam,waabam,1Sg,3SgProx,Neu,Neg,<<waabam>>aasiwag,
VTA,Cnj,Regular,waabam,waabam,1Sg,3SgProx,Neu,Pos,<<waabam>>ag,
VTA,Cnj,Regular,waabam,waabam,2Pl,1Sg,Neu,Neg,<<waabam>>isiweg,
VTA,Cnj,Regular,waabam,waabam,2Pl,1Sg,Neu,Pos,<<waabam>>iyeg,
VTA,Cnj,Regular,waabam,waabam,2Pl,3PlProx,Neu,Neg,<<waabam>>aasiwegwaa,
VTA,Cnj,Regular,waabam,waabam,2Pl,3PlProx,Neu,Pos,<<waabam>>egwaa,
VTA,Cnj,Regular,waabam,waabam,2Pl,3SgObv/3PlObv,Neu,Neg,<<waabam>>imaasiweg,
VTA,Cnj,Regular,waabam,waabam,2Pl,3SgObv/3PlObv,Neu,Pos,<<waabam>>imeg,
VTA,Cnj,Regular,waabam,waabam,2Pl,3SgProx,Neu,Neg,<<waabam>>aasiweg,
VTA,Cnj,Regular,waabam,waabam,2Pl,3SgProx,Neu,Pos,<<waabam>>eg,
VTA,Cnj,Regular,waabam,waabam,2Pl,Excl,Neu,Neg,<<waabam>>isiwaang,
VTA,Cnj,Regular,waabam,waabam,2Pl,Excl,Neu,Pos,<<waabam>>iyaang,
VTA,Cnj,Regular,waabam,waabam,2Sg,1Sg,Neu,Neg,<<waabam>>isiwan,
VTA,Cnj,Regular,waabam,waabam,2Sg,1Sg,Neu,Pos,<<waabam>>iyan,
VTA,Cnj,Regular,waabam,waabam,2Sg,3PlProx,Neu,Neg,<<waabam>>aasiwadwaa,
VTA,Cnj,Regular,waabam,waabam,2Sg,3PlProx,Neu,Pos,<<waabam>>adwaa,
VTA,Cnj,Regular,waabam,waabam,2Sg,3SgObv/3PlObv,Neu,Neg,<<waabam>>imaasiwad,
VTA,Cnj,Regular,waabam,waabam,2Sg,3SgObv/3PlObv,Neu,Pos,<<waabam>>imad,
VTA,Cnj,Regular,waabam,waabam,2Sg,3SgProx,Neu,Neg,<<waabam>>aasiwad,
VTA,Cnj,Regular,waabam,waabam,2Sg,3SgProx,Neu,Pos,<<waabam>>ad,
VTA,Cnj,Regular,waabam,waabam,2Sg,Excl,Neu,Neg,<<waabam>>isiwaang,
VTA,Cnj,Regular,waabam,waabam,2Sg,Excl,Neu,Pos,<<waabam>>iyaang,
VTA,Cnj,Regular,waabam,waabam,3PlProx,1Sg,Neu,Neg,<<waabam>>isigwaa,
VTA,Cnj,Regular,waabam,waabam,3PlProx,1Sg,Neu,Pos,<<waabam>>iwaad,
VTA,Cnj,Regular,waabam,waabam,3PlProx,2Pl,Neu,Neg,<<waabam>>isinowegwaa,
VTA,Cnj,Regular,waabam,waabam,3PlProx,2Pl,Neu,Pos,<<waabam>>inegwaa,
VTA,Cnj,Regular,waabam,waabam,3PlProx,2Sg,Neu,Neg,<<waabam>>isinokwaa,
VTA,Cnj,Regular,waabam,waabam,3PlProx,2Sg,Neu,Pos,<<waabam>>ikwaa,
VTA,Cnj,Regular,waabam,waabam,3PlProx,3SgObv/3PlObv,Neu,Neg,<<waabam>>aasigwaa,
VTA,Cnj,Regular,waabam,waabam,3PlProx,3SgObv/3PlObv,Neu,Pos,<<waabam>>aawaad,
VTA,Cnj,Regular,waabam,waabam,3PlProx,Excl,Neu,Neg,<<waabam>>isiwangidwaa,
VTA,Cnj,Regular,waabam,waabam,3PlProx,Excl,Neu,Pos,<<waabam>>iyangidwaa,
VTA,Cnj,Regular,waabam,waabam,3PlProx,Incl,Neu,Neg,<<waabam>>isinowangwaa,
VTA,Cnj,Regular,waabam,waabam,3PlProx,Incl,Neu,Pos,<<waabam>>inangwaa,
VTA,Cnj,Regular,waabam,waabam,3SgObv/3PlObv,3PlProx,Neu,Neg,<<waabam>>igosigwaa,
VTA,Cnj,Regular,waabam,waabam,3SgObv/3PlObv,3PlProx,Neu,Pos,<<waabam>>igowaad,
VTA,Cnj,Regular,waabam,waabam,3SgObv/3PlObv,3SgProx,Neu,Neg,<<waabam>>igosig,
VTA,Cnj,Regular,waabam,waabam,3SgObv/3PlObv,3SgProx,Neu,Pos,<<waabam>>igod,
VTA,Cnj,Regular,waabam,waabam,3SgProx,1Sg,Neu,Neg,<<waabam>>isig,
VTA,Cnj,Regular,waabam,waabam,3SgProx,1Sg,Neu,Pos,<<waabam>>id,
VTA,Cnj,Regular,waabam,waabam,3SgProx,2Pl,Neu,Neg,<<waabam>>isinoweg,
VTA,Cnj,Regular,waabam,waabam,3SgProx,2Pl,Neu,Pos,<<waabam>>ineg,
VTA,Cnj,Regular,waabam,waabam,3SgProx,2Sg,Neu,Neg,<<waabam>>isinok,
VTA,Cnj,Regular,waabam,waabam,3SgProx,2Sg,Neu,Pos,<<waabam>>ik,
VTA,Cnj,Regular,waabam,waabam,3SgProx,3SgObv/3PlObv,Neu,Neg,<<waabam>>aasig,
VTA,Cnj,Regular,waabam,waabam,3SgProx,3SgObv/3PlObv,Neu,Pos,<<waabam>>aad,
VTA,Cnj,Regular,waabam,waabam,3SgProx,Excl,Neu,Neg,<<waabam>>isiwangid,
VTA,Cnj,Regular,waabam,waabam,3SgProx,Excl,Neu,Pos,<<waabam>>iyangid,
VTA,Cnj,Regular,waabam,waabam,3SgProx,Incl,Neu,Neg,<<waabam>>isinowang,
VTA,Cnj,Regular,waabam,waabam,3SgProx,Incl,Neu,Pos,<<waabam>>inang,
VTA,Cnj,Regular,waabam,waabam,Excl,2Pl,Neu,Neg,<<waabam>>igosiweg,
VTA,Cnj,Regular,waabam,waabam,Excl,2Pl,Neu,Pos,<<waabam>>igooyeg,
VTA,Cnj,Regular,waabam,waabam,Excl,2Sg,Neu,Neg,<<waabam>>igoosiwan,
VTA,Cnj,Regular,waabam,waabam,Excl,2Sg,Neu,Pos,<<waabam>>igooyan,
VTA,Cnj,Regular,waabam,waabam,Excl,3PlProx,Neu,Neg,<<waabam>>aasiwangidwaa,
VTA,Cnj,Regular,waabam,waabam,Excl,3PlProx,Neu,Pos,<<waabam>>angidwaa,
VTA,Cnj,Regular,waabam,waabam,Excl,3SgObv/3PlObv,Neu,Neg,<<waabam>>imaasiwangid,
VTA,Cnj,Regular,waabam,waabam,Excl,3SgObv/3PlObv,Neu,Pos,<<waabam>>imangid,
VTA,Cnj,Regular,waabam,waabam,Excl,3SgProx,Neu,Neg,<<waabam>>aasiwangid,
VTA,Cnj,Regular,waabam,waabam,Excl,3SgProx,Neu,Pos,<<waabam>>angid,
VTA,Cnj,Regular,waabam,waabam,Incl,3PlProx,Neu,Neg,<<waabam>>aasiwangwaa,
VTA,Cnj,Regular,waabam,waabam,Incl,3PlProx,Neu,Pos,<<waabam>>angwaa,
VTA,Cnj,Regular,waabam,waabam,Incl,3SgObv/3PlObv,Neu,Neg,<<waabam>>imaasiwang,
VTA,Cnj,Regular,waabam,waabam,Incl,3SgObv/3PlObv,Neu,Pos,<<waabam>>imang,
VTA,Cnj,Regular,waabam,waabam,Incl,3SgProx,Neu,Neg,<<waabam>>aasiwang,
VTA,Cnj,Regular,waabam,waabam,Incl,3SgProx,Neu,Pos,<<waabam>>ang,
VTA,Cnj,Regular,waabam,waabam,X,1Sg,Neu,Neg,<<waabam>>igoosiwaan,
VTA,Cnj,Regular,waabam,waabam,X,1Sg,Neu,Pos,<<waabam>>igooyaan,
VTA,Cnj,Regular,waabam,waabam,X,2Pl,Neu,Neg,<<waabam>>igoosiweg,
VTA,Cnj,Regular,waabam,waabam,X,2Pl,Neu,Pos,<<waabam>>igooyeg,
VTA,Cnj,Regular,waabam,waabam,X,2Sg,Neu,Neg,<<waabam>>igoosiwan,
VTA,Cnj,Regular,waabam,waabam,X,2Sg,Neu,Pos,<<waabam>>igooyan,
VTA,Cnj,Regular,waabam,waabam,X,3PlProx,Neu,Neg,<<waabam>>aasiwindwaa,
VTA,Cnj,Regular,waabam,waabam,X,3PlProx,Neu,Pos,<<waabam>>indwaa,
VTA,Cnj,Regular,waabam,waabam,X,3SgObv/3PlObv,Neu,Neg,<<waabam>>imaasiwind,
VTA,Cnj,Regular,waabam,waabam,X,3SgObv/3PlObv,Neu,Pos,<<waabam>>imind,
VTA,Cnj,Regular,waabam,waabam,X,3SgProx,Neu,Neg,<<waabam>>aasiwind,
VTA,Cnj,Regular,waabam,waabam,X,3SgProx,Neu,Pos,<<waabam>>ind,
VTA,Cnj,Regular,waabam,waabam,X,Excl,Neu,Neg,<<waabam>>igoosiwaang,
VTA,Cnj,Regular,waabam,waabam,X,Excl,Neu,Pos,<<waabam>>igooyaang,
VTA,Cnj,Regular,waabam,waabam,X,Incl,Neu,Neg,<<waabam>>igoosiwang,
VTA,Cnj,Regular,waabam,waabam,X,Incl,Neu,Pos,<<waabam>>igooyang,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,1Sg,Prt,Neg,<<waabam>>igosiwaambaan,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,1Sg,Prt,Pos,<<waabam>>igoyaambaan,
