Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VTI,Cnj,am,waabandam,waaband,3SgProx,0Sg/0Pl,Dub,Neg,waabandanziigwen,<<waaband>>anziigwen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3SgProx,0Sg/0Pl,Dub,Pos,waabandamogwen,<<waaband>>amogwen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3SgProx,0Sg/0Pl,Dub+Prt,Neg,waabandanziigobanen,<<waaband>>anziigobanen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3SgProx,0Sg/0Pl,Dub+Prt,Pos,waabandamogobanen,<<waaband>>amogobanen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3SgProx,0Sg/0Pl,Neu,Neg,waabandanzig,<<waaband>>anzig,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3SgProx,0Sg/0Pl,Neu,Pos,waabandang,<<waaband>>ang,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3SgProx,0Sg/0Pl,Prt,Neg,waabandanzigoban,<<waaband>>anzigoban,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,3SgProx,0Sg/0Pl,Prt,Pos,waabandangiban,<<waaband>>angiban,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3SgProx,0Sg/0Pl,Dub,Neg,wanitoosiigwen,<<wanit>>oosiigwen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3SgProx,0Sg/0Pl,Dub,Pos,wanitoogwen,<<wanit>>oogwen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3SgProx,0Sg/0Pl,Dub+Prt,Neg,wanitoosiigobanen,<<wanit>>oosiigobanen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3SgProx,0Sg/0Pl,Dub+Prt,Pos,wanitoogobanen,<<wanit>>oogobanen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3SgProx,0Sg/0Pl,Neu,Neg,wanitoosig,<<wanit>>oosig,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,3SgProx,0Sg/0Pl,Neu,Pos,wanitood,<<wanit>>ood,JDN-PC,,,
